,parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
195,31S,31P,b+ec,16,15,0.0,1/2,1,15,16,3134.3,1/2,2,0.0322,0.0012,4.77,0.02,0.104374055,0.004806603,0.046051702,True,1,1,0.074872,True,0.0
196,31S,31P,b+ec,16,15,0.0,1/2,1,15,16,3506.1,3/2,2,0.012,0.0009,4.58,0.04,0.161656271,0.014889093,0.092103404,True,1,3,0.263233,True,1.0
197,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,2234.4,5/2,1,48.0,1.0,4.3,0.1,0.308029674,0.070926454,0.230258509,True,3,5,0.32447,False,1.0
198,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,1248.8,3/2,1,6.8,0.4,5.3,0.1,0.030802967,0.007092645,0.230258509,True,3,3,0.03203,False,0.0
199,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,3077.2,1/2,2,3.2,0.2,5.2,0.1,0.038778638,0.008929111,0.230258509,True,3,1,0.02094,False,-1.0
200,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,3284.2,5/2,1,5.6,0.3,4.9,0.1,0.077373556,0.01781592,0.230258509,True,3,5,0.32447,False,1.0
201,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,3435.6,3/2,2,0.8,0.1,4.3,0.1,0.308029674,0.070926454,0.230258509,True,3,3,0.002208,False,0.0
202,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,4520.5,3/2,3,0.6,0.1,5.5,0.1,0.019435358,0.004475157,0.230258509,True,3,3,0.088774,False,0.0
203,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,5157.5,1/2,3,0.7,0.1,5.3,0.1,0.030802967,0.007092645,0.230258509,True,3,1,0.174981,False,-1.0
204,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,6255.0,1/2,4,0.4,0.1,5.1,0.1,0.048819413,0.011241085,0.230258509,True,3,1,0.003637,False,-1.0
205,31Cl,31S,b+ec,17,14,0.0,3/2,1,16,15,6280.0,3/2,4,14.6,0.1,3.509,0.013,1.903673901,0.056983825,0.029933606,True,3,3,0.011879,False,0.0
206,32Cl,32S,b+ec,17,15,0.0,1,1,16,16,0.0,0,1,1.0,0.4,6.74,0.18,0.001118388,0.000463533,0.414465317,True,2,0,0.000576,False,-1.0
207,32Cl,32S,b+ec,17,15,0.0,1,1,16,16,2230.5,2,1,60.0,4.0,4.52,0.03,0.185606233,0.012821224,0.069077553,True,2,4,0.209055,False,1.0
208,32Cl,32S,b+ec,17,15,0.0,1,1,16,16,3778.0,0,2,2.6,0.8,5.51,0.14,0.018992956,0.006122606,0.322361913,True,2,0,0.005906,False,-1.0
209,32Cl,32S,b+ec,17,15,0.0,1,1,16,16,4281.5,2,2,3.1,0.4,5.3,0.06,0.030802967,0.004255587,0.138155106,True,2,4,0.007221,False,1.0
210,32Cl,32S,b+ec,17,15,0.0,1,1,16,16,4694.2,1,1,6.8,0.8,4.84,0.06,0.088836728,0.012273248,0.138155106,True,2,2,0.119334,False,0.0
211,32Cl,32S,b+ec,17,15,0.0,1,1,16,16,5548.7,2,3,4.1,0.5,4.79,0.06,0.099676449,0.01377081,0.138155106,True,2,4,0.09115,False,1.0
212,33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,0.0,3/2,1,98.58,0.19,3.7471,0.001,1.100252986,0.002533426,0.002302585,True,3,3,0.171291,True,0.0
213,33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,840.9,1/2,1,0.48,0.06,5.65,0.06,0.01375918,0.001900901,0.138155106,True,3,1,0.011149,True,-1.0
214,33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,1966.0,5/2,1,0.46,0.06,4.97,0.06,0.065855576,0.009098284,0.138155106,True,3,5,0.037426,True,1.0
215,33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,2312.7,3/2,2,0.035,0.005,5.65,0.06,0.01375918,0.001900901,0.138155106,True,3,3,0.009187,True,0.0
216,33Cl,33S,b+ec,17,16,0.0,3/2,1,16,17,2867.0,5/2,2,0.44,0.06,4.18,0.06,0.406062193,0.056099565,0.138155106,True,3,5,0.370478,True,1.0
218,34Cl,34S,b+ec,17,17,146.36,3,1,16,18,3304.2,2,2,26.4,0.5,4.823,0.011,0.092383105,0.00233992,0.025328436,True,6,4,0.117454,False,-1.0
219,34Cl,34S,b+ec,17,17,146.36,3,1,16,18,4114.813,2,3,0.45,0.01,5.081,0.013,0.051002628,0.001526693,0.029933606,True,6,4,0.072536,False,-1.0
224,35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,0.0,3/2,1,98.23,0.05,3.752,0.0005,1.087908966,0.001252501,0.001151293,True,3,3,0.137675,True,0.0
225,35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,1219.22,1/2,1,1.23,0.03,5.091,0.011,0.049841667,0.001262411,0.025328436,True,3,1,0.046274,True,-1.0
226,35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,1763.11,5/2,1,0.25,0.11,5.475,0.02,0.020586976,0.000948065,0.046051702,True,3,5,0.042143,True,1.0
227,35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,2693.0,3/2,3,0.16,0.007,4.989,0.019,0.063036567,0.002757794,0.043749117,True,3,3,0.069654,True,0.0
228,35Ar,35Cl,b+ec,18,17,0.0,3/2,1,17,18,3002.0,5/2,2,0.089,0.0026,4.973,0.013,0.06540223,0.001957725,0.029933606,True,3,5,0.02492,True,1.0
230,35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,0.0,3/2,1,19.0,4.0,5.07,0.1,0.052310944,0.01204504,0.230258509,True,3,3,0.071378,False,0.0
231,35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,1184.0,1/2,1,2.2,0.7,5.77,0.14,0.010437405,0.003364622,0.322361913,True,3,1,4.3e-05,False,-1.0
232,35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,1750.0,5/2,1,11.9,0.9,4.91,0.04,0.075612319,0.006964152,0.092103404,True,3,5,0.099411,False,1.0
233,35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,4725.0,1/2,2,2.1,0.4,4.85,0.09,0.086814557,0.017990812,0.207232658,True,3,1,0.083331,False,-1.0
234,35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,4785.0,1/2,3,1.0,0.4,5.15,0.18,0.043510348,0.01803353,0.414465317,True,3,1,0.13659,False,-1.0
235,35K,35Ar,b+ec,19,16,0.0,3/2,1,18,17,5572.0,3/2,3,36.0,3.0,3.31,0.05,3.010180624,0.346559852,0.115129255,True,3,3,0.00057,False,0.0
236,36K,36Ar,b+ec,19,17,0.0,2,1,18,18,1970.0,2,1,44.0,4.0,4.78,0.04,0.101998211,0.009394382,0.092103404,True,4,4,0.132454,False,0.0
237,36K,36Ar,b+ec,19,17,0.0,2,1,18,18,4441.5,2,2,8.4,1.0,4.9,0.06,0.077373556,0.010689552,0.138155106,True,4,4,0.134878,False,0.0
238,36K,36Ar,b+ec,19,17,0.0,2,1,18,18,6612.0,2,3,42.0,4.0,3.49,0.05,1.988806615,0.228969823,0.115129255,True,4,4,0.12111,False,0.0
239,37K,37Ar,b+ec,19,18,0.0,3/2,1,18,19,0.0,3/2,1,97.89,0.11,3.657,0.003,1.353918604,0.009352538,0.006907755,True,3,3,0.386137,True,0.0
