,parent,daughter,decay,Zi,Ni,Exi,Ji,ni,Zf,Nf,Exf,Jf,nf,I(%),sigma_I(%),logft,sigma_logft,Bexp,sigma_B,sigma_B/B,include,twoJi,twoJf,Bth,Tmirror,deltaJ
51,25Na,25Mg,b-,11,14,0.0,5/2,1,12,13,1611.772,7/2,1,9.48,0.14,5.03,0.1,0.057357809,0.013207124,0.230258509,True,5,7,0.043079,False,1.0
52,25Na,25Mg,b-,11,14,0.0,5/2,1,12,13,1964.62,5/2,2,0.44,0.007,6.04,0.1,0.005605219,0.001290649,0.230258509,True,5,5,0.004363,False,0.0
53,25Na,25Mg,b-,11,14,0.0,5/2,1,12,13,2801.46,3/2,2,0.247,0.004,5.25,0.1,0.034561498,0.007958079,0.230258509,True,5,3,0.048769,False,-1.0
54,26Na,26Mg,b-,11,15,0.0,3,1,12,14,1808.8,2,1,87.8,0.07,4.71,0.01,0.119837449,0.002759359,0.023025851,True,6,4,0.104038,False,-1.0
55,26Na,26Mg,b-,11,15,0.0,3,1,12,14,2938.26,2,2,0.05,0.04,7.6,0.4,0.000154381,0.00014219,0.921034037,True,6,4,0.001446,False,-1.0
56,26Na,26Mg,b-,11,15,0.0,3,1,12,14,3941.0,3,1,1.31,0.04,5.87,0.01,0.008290726,0.000190901,0.023025851,True,6,6,0.00466,False,0.0
57,26Na,26Mg,b-,11,15,0.0,3,1,12,14,4319.17,4,1,0.493,0.011,6.15,0.01,0.004351035,0.000100186,0.023025851,True,6,8,0.004996,False,1.0
58,26Na,26Mg,b-,11,15,0.0,3,1,12,14,4332.02,2,3,1.65,0.03,5.62,0.01,0.014743227,0.000339475,0.023025851,True,6,4,0.015237,False,-1.0
59,26Na,26Mg,b-,11,15,0.0,3,1,12,14,4350.0,3,2,3.17,0.07,5.33,0.01,0.028747002,0.000661924,0.023025851,True,6,6,0.045589,False,0.0
60,26Na,26Mg,b-,11,15,0.0,3,1,12,14,4834.92,2,4,2.378,0.019,5.25,0.01,0.034561498,0.000795808,0.023025851,True,6,4,0.027949,False,-1.0
61,26Na,26Mg,b-,11,15,0.0,3,1,12,14,4901.16,4,2,0.246,0.011,6.21,0.02,0.003789593,0.000174517,0.046051702,True,6,8,0.000409,False,1.0
62,26Na,26Mg,b-,11,15,0.0,3,1,12,14,5291.65,2,5,0.0129,0.011,7.31,0.06,0.000301018,4.15872e-05,0.138155106,True,6,4,0.00023,False,-1.0
63,27Na,27Mg,b-,11,16,0.0,5/2,1,12,15,984.7,3/2,1,85.8,1.1,4.3,0.015,0.308029674,0.010638968,0.034538776,True,5,3,0.320296,False,-1.0
64,27Na,27Mg,b-,11,16,0.0,5/2,1,12,15,1698.0,5/2,1,11.3,0.7,4.99,0.03,0.062891587,0.004344397,0.069077553,True,5,5,0.037969,False,0.0
65,27Na,27Mg,b-,11,16,0.0,5/2,1,12,15,1940.0,5/2,2,0.5,0.7,6.3,0.8,0.003080297,0.005674116,1.842068074,True,5,5,0.008306,False,0.0
66,28Na,28Mg,b-,11,17,0.0,1,1,12,16,0.0,0,1,60.0,5.0,4.6,0.1,0.15438054,0.035547433,0.230258509,True,2,0,0.14829,False,-1.0
67,28Na,28Mg,b-,11,17,0.0,1,1,12,16,1473.55,2,1,11.0,6.0,5.1,0.2,0.048819413,0.022482171,0.460517019,True,2,4,0.018087,False,1.0
68,28Na,28Mg,b-,11,17,0.0,1,1,12,16,3862.15,0,2,20.1,1.9,4.42,0.01,0.233664403,0.005380322,0.023025851,True,2,0,0.261556,False,-1.0
69,28Na,28Mg,b-,11,17,0.0,1,1,12,16,4554.6,2,2,1.0,0.25,5.6,0.1,0.015438054,0.003554743,0.230258509,True,2,4,0.037768,False,1.0
70,29Na,29Mg,b-,11,18,0.0,3/2,1,12,17,0.0,3/2,1,24.0,8.0,5.06,0.15,0.053529422,0.018488407,0.345387764,True,3,3,0.097329,False,0.0
71,27Mg,27Al,b-,12,15,0.0,1/2,1,13,14,843.8,1/2,1,70.94,0.09,4.7297,0.001,0.114522958,0.000263699,0.002302585,True,1,1,0.111766,False,0.0
72,27Mg,27Al,b-,12,15,0.0,1/2,1,13,14,1014.6,3/2,1,29.06,0.09,4.934,0.0016,0.071547186,0.00026359,0.003684136,True,1,3,0.063231,False,1.0
73,28Mg,28Al,b-,12,16,0.0,0,1,13,15,1372.9,1,1,94.8,1.0,4.453,0.009,0.216567137,0.004487978,0.020723266,True,0,2,0.245291,False,1.0
74,28Mg,28Al,b-,12,16,0.0,0,1,13,15,1620.1,1,2,4.9,1.0,4.57,0.09,0.165421729,0.034280785,0.207232658,True,0,2,0.154281,False,1.0
75,29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,0.0,5/2,1,27.0,8.0,5.32,0.14,0.029416605,0.009482793,0.322361913,True,3,5,0.053037,False,1.0
76,29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,3184.5,5/2,3,28.0,5.0,4.21,0.09,0.378959288,0.078532741,0.207232658,True,3,5,0.189793,False,1.0
77,29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,2224.1,3/2,1,21.0,6.0,4.73,0.13,0.114443875,0.034257179,0.299336062,True,3,3,0.06822,False,0.0
78,29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,1398.0,1/2,1,7.0,3.0,5.49,0.19,0.019888066,0.008700853,0.437491168,True,3,1,0.012561,False,-1.0
79,29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,2865.0,3/2,2,7.8,1.5,4.9,0.1,0.077373556,0.01781592,0.230258509,True,3,3,0.070337,False,0.0
80,29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,3061.7,5/2,2,6.0,1.6,4.93,0.13,0.072209204,0.021614819,0.299336062,True,3,5,0.178166,False,1.0
81,29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,3184.0,5/2,3,28.0,5.0,4.21,0.09,0.378959288,0.078532741,0.207232658,True,3,5,0.189793,False,1.0
82,29Mg,29Al,b-,12,17,0.0,3/2,1,13,16,3433.0,1/2,2,3.0,0.9,5.06,0.14,0.053529422,0.017255847,0.322361913,True,3,1,0.079315,False,-1.0
83,30Mg,30Al,b-,12,18,0.0,0,1,13,17,688.0,1,1,68.0,20.0,3.96,0.13,0.673895499,0.201721225,0.299336062,True,0,2,0.911795,False,1.0
84,30Mg,30Al,b-,12,18,0.0,0,1,13,17,2413.0,1,2,7.0,1.0,4.3,0.07,0.308029674,0.049648517,0.161180957,True,0,2,0.476181,False,1.0
85,28Al,28Si,b-,13,15,0.0,3,1,14,14,1779.0,2,1,99.99,0.01,4.8664,0.0004,0.083597359,7.6996e-05,0.000921034,True,6,4,0.080356,False,-1.0
