,Unnamed: 0,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include,Mth_p,Mth_n
129,129,26,Al,13,13,2740.03,0.03,1,31 FS 3,2323.07,0.0,0.81,0.2,[E2],,,,,0.47,0.13,2,31.0,FS,3.0,3.1e-14,3.0000000000000002e-15,2.150535467449928,0.5948289590818948,26Al,3,6,4,1,True,0.4804,0.4804
130,130,26,Al,13,13,3073.63,0.04,3,194 FS 31,3073.43,0.0,0.95,0.11,[E2],,,,,0.018,0.004,6,194.0,FS,31.0,1.94e-13,3.1e-14,0.0823609327959546,0.0183024295102121,26Al,5,10,4,1,True,-0.0737,-0.0737
131,131,26,Al,13,13,3073.63,0.04,3,194 FS 31,2015.81,0.0,14.7,0.5,[E2],,,,,2.3,0.4,6,194.0,FS,31.0,1.94e-13,3.1e-14,10.523896968371984,1.8302429510212148,26Al,1,2,4,1,True,-0.7833,-0.7833
132,132,26,Al,13,13,3073.63,0.04,3,194 FS 31,1222.98,0.0,3.23,0.1,[E2],,,,,6.3,1.1,6,194.0,FS,31.0,1.94e-13,3.1e-14,28.82632647858413,5.0331681153083405,26Al,1,2,4,2,True,-0.0834,-0.0834
133,133,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2931.406,0.0,0.69,0.08,E2,,,,,0.72,0.17,4,3.5,FS,0.7,3.5e-15,7e-16,3.294437311838186,0.7778532541840163,26Al,0,0,5,1,True,-0.5325,-0.5325
134,134,26,Al,13,13,3402.65,0.06,5,67 FS 12,1037.48,0.0,0.84,0.11,[E2],,,,,7.4,1.7,10,67.0,FS,12.0,6.7e-14,1.2e-14,33.85949459389247,7.778532541840162,26Al,3,6,2,2,True,-0.7395,-0.7395
135,135,26,Al,13,13,3402.65,0.06,5,67 FS 12,2985.61,0.0,100.0,1.8,[E2],,,,,4.4,0.8,10,67.0,FS,12.0,6.7e-14,1.2e-14,20.13267246123336,3.6604859020424296,26Al,3,6,2,1,True,0.6443,0.6443
137,137,26,Al,13,13,3596.34,0.04,3,18 FS 3,3596.07,0.0,4.02,0.22,[E2],,,,,0.42,0.08,6,18.0,FS,3.0,1.8000000000000002e-14,3.0000000000000002e-15,1.921755098572276,0.3660485902042429,26Al,5,10,5,1,True,-0.0523,-0.0523
138,138,26,Al,13,13,3596.34,0.04,3,18 FS 3,2538.47,0.0,3.48,0.11,[E2],,,,,2.1,0.4,6,18.0,FS,3.0,1.8000000000000002e-14,3.0000000000000002e-15,9.608775492861378,1.8302429510212148,26Al,1,2,5,1,True,0.4027,0.4027
139,139,26,Al,13,13,3596.34,0.04,3,18 FS 3,1745.66,0.0,1.07,0.07,[E2],,,,,4.2,0.8,6,18.0,FS,3.0,1.8000000000000002e-14,3.0000000000000002e-15,19.21755098572276,3.6604859020424296,26Al,1,2,5,2,True,-0.4043,-0.4043
140,140,26,Al,13,13,3674.92,0.05,4,155 FS 20,1915.81,0.0,48.0,1.4,[E2],,,,,8.5,1.2,8,155.0,FS,20.0,1.5500000000000002e-13,2.0000000000000003e-14,38.89266270920081,5.490728853063644,26Al,2,4,2,1,True,0.8953,0.8953
141,141,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,3680.4,0.0,0.77,0.08,[E2],,,,,0.16,0.04,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,0.7320971804084858,0.1830242951021214,26Al,5,10,6,1,True,0.2151,0.2151
142,142,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,2622.8,0.0,2.79,0.21,[E2],,,,,3.1,0.6,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,14.184382870414414,2.7453644265318218,26Al,1,2,6,1,True,0.3499,0.3499
143,143,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,1829.99,0.0,0.19,0.04,[E2],,,,,1.3,0.4,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,5.948289590818948,1.8302429510212148,26Al,1,2,6,2,True,-0.7023,-0.7023
144,144,26,Al,13,13,3962.83,0.05,3,37 FS 5,3962.5,0.0,7.9,0.4,[E2],,,,,0.19,0.03,6,37.0,FS,5.0,3.7e-14,5.000000000000001e-15,0.8693654017350769,0.137268221326591,26Al,5,10,7,1,True,-0.2534,-0.2534
145,145,26,Al,13,13,3962.83,0.05,3,37 FS 5,2904.92,0.0,15.9,0.6,[E2],,,,,1.8,0.3,6,37.0,FS,5.0,3.7e-14,5.000000000000001e-15,8.236093279595465,1.3726822132659109,26Al,1,2,7,1,True,0.4769,0.4769
146,146,26,Al,13,13,3962.83,0.05,3,37 FS 5,2112.12,0.0,2.3,0.3,[E2],,,,,1.28,0.25,6,37.0,FS,5.0,3.7e-14,5.000000000000001e-15,5.856777443267887,1.1439018443882591,26Al,1,2,7,2,True,-0.1412,-0.1412
147,147,26,Al,13,13,3962.83,0.05,3,37 FS 5,1222.77,0.0,0.7,0.3,[E2],,,,,6.0,3.0,6,37.0,FS,5.0,3.7e-14,5.000000000000001e-15,27.45364426531821,13.726822132659107,26Al,1,2,7,4,True,-0.0775,-0.0775
148,148,26,Al,13,13,4191.92,0.06,3,5 FS 2,4191.56,0.0,0.41,0.1,[E2],,,,,0.046,0.022,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.2104779393674397,0.1006633623061667,26Al,5,10,8,1,True,-0.2122,0.2122
149,149,26,Al,13,13,4205.86,0.05,4,62 FS 10,2446.7,0.0,1.67,0.11,[E2],,,,,0.25,0.05,8,62.0,FS,10.0,6.2e-14,1.0000000000000002e-14,1.1439018443882591,0.2287803688776518,26Al,2,4,3,1,True,0.192,0.192
150,150,26,Al,13,13,4205.86,0.05,4,62 FS 10,1544.89,0.0,12.3,0.8,[E2],,,,,18.0,4.0,8,62.0,FS,10.0,6.2e-14,1.0000000000000002e-14,82.36093279595465,18.302429510212143,26Al,2,4,3,3,True,-1.2427,-1.2427
151,151,26,Al,13,13,4205.86,0.05,4,62 FS 10,1292.43,0.0,0.95,0.08,[E2],,,,,3.5,0.7,8,62.0,FS,10.0,6.2e-14,1.0000000000000002e-14,16.01462582143563,3.2029251642871253,26Al,2,4,3,4,True,0.119,0.119
152,152,26,Al,13,13,4349.34,0.07,3,9 FS 3,3291.38,0.0,1.9,0.2,[E2],,,,,0.64,0.23,6,9.0,FS,3.0,9.000000000000001e-15,3.0000000000000002e-15,2.928388721633944,1.0523896968371984,26Al,1,2,9,1,True,0.6488,0.6488
153,153,26,Al,13,13,4349.34,0.07,3,9 FS 3,4348.95,0.0,0.64,0.11,[E2],,,,,0.053,0.02,6,9.0,FS,3.0,9.000000000000001e-15,3.0000000000000002e-15,0.2425071910103109,0.0915121475510607,26Al,5,10,9,1,True,0.1111,0.1111
174,174,27,Al,13,14,843.76,0.09,1/2,35 PS 1,843.76,0.1,100.0,0.0,E2,,,,,7.86,0.23,1,35.0,PS,1.0,3.5e-11,1e-12,37.82031884503959,1.1067014420304204,27Al,5/2,5,1,1,True,-1.0727,-1.5943
175,175,27,Al,13,14,3004.2,0.8,9/2,59 FS 3,3004.0,0.9,100.0,2.0,E2,,,,,7.1,0.4,9,59.0,FS,3.0,5.9e-14,3.0000000000000002e-15,34.16339234093906,1.9246981600529047,27Al,5/2,5,1,1,True,-0.8822,-1.5238
176,176,27,Al,13,14,4510.3,0.5,11/2,222 FS 14,2299.0,0.8,100.0,3.0,(E2),,,,,5.6,0.7,11,222.0,FS,14.0,2.2200000000000001e-13,1.4e-14,26.94577424074067,3.368221780092584,27Al,7/2,7,1,1,True,0.888,0.9235
178,178,28,Al,13,15,972.35,0.03,0,33 PS 2,941.79,0.06,100.0,0.0,E2,,,,,4.6,0.3,0,33.0,PS,2.0,3.3e-11,2e-12,23.233759761184466,1.515245201816378,28Al,2,4,1,1,True,-0.8132,-1.0888
179,179,28,Al,13,15,1372.917,0.02,1,223 FS 35,1372.8,0.2,15.0,8.0,[E2],,,,,9.0,5.0,2,223.0,FS,35.0,2.23e-13,3.5e-14,45.45735605449134,25.25408669693964,28Al,3,6,1,1,True,0.9564,1.0774
180,180,28,Al,13,15,2581.81,0.22,5,313 FS 25,2582.2,0.5,100.0,2.0,[E2],,,,,2.9,0.3,10,313.0,FS,25.0,3.1300000000000013e-13,2.5e-14,14.647370284224989,1.515245201816378,28Al,3,6,1,1,True,0.5146,0.8672
181,181,29,Al,13,16,1398.05,0.16,1/2,4.5 PS 0.3,1398.0,0.2,100.0,0.0,(E2),,,,,4.4,0.3,1,4.5,PS,0.3,4.5e-12,3e-13,23.28811272515537,1.5878258676242294,29Al,5/2,5,1,1,True,0.9436,0.8223
182,182,26,Si,14,12,1797.3,0.1,2,440 FS 40,1797.2,0.1,100.0,0.0,E2,,,,,15.3,1.5,4,440.0,FS,40.0,4.4000000000000004e-13,4.0000000000000006e-14,70.00679287656146,6.863411066329554,26Si,0,0,1,1,True,-1.0093,-1.4828
183,183,26,Si,14,12,2787.05,0.13,2,146 FS 35,2787.0,0.2,48.9,2.7,E2,,,,,1.7,0.4,4,146.0,FS,35.0,1.46e-13,3.5e-14,7.778532541840162,1.8302429510212148,26Si,0,0,2,1,True,-0.9687,-0.0962
184,184,26,Si,14,12,3336.35,0.22,0,1.52 PS 0.48,1539.0,0.2,100.0,19.0,E2,,,,,10.0,5.0,0,1.52,PS,0.48,1.52e-12,4.8e-13,45.75607377553037,22.878036887765184,26Si,2,4,2,1,True,0.6559,0.0268
185,185,26,Si,14,12,4139.06,0.2,2,35 FS 3,4141.0,3.0,11.8,5.9,[E2],,,,,0.28,0.15,4,35.0,FS,3.0,3.5e-14,3.0000000000000002e-15,1.2811700657148504,0.6863411066329554,26Si,0,0,3,1,True,-0.2075,-0.0487
