,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln
82,23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,2981.7,0.8,100.0,0.3,M1,0.147,0.018,3,3.3,FS,0.4,3.3e-15,4e-16,0.2632024871382219,0.0322288759761088,23Na,3/2,3,2,1,True,-0.1577,-0.0109,0.1698,-0.0012
83,23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,591.0,1.0,0.51,0.17,[M1],0.1,0.04,3,3.3,FS,0.4,3.3e-15,4e-16,0.1790493109783822,0.0716197243913529,23Na,1/2,1,2,1,True,-0.084,-0.0083,0.0056,0.0867
84,23,Na,11,12,3914.6,0.4,5/2,6.9 FS 1.4,1838.0,1.0,11.3,0.3,M1,0.046,0.01,5,6.9,FS,1.4,6.900000000000001e-15,1.4e-15,0.0823626830500558,0.0179049310978382,23Na,7/2,7,2,1,True,0.0562,0.0142,-0.309,0.2386
85,23,Na,11,12,4429.63,0.16,1/2,0.21 FS 0.02,4429.2,0.0,100.0,3.0,M1,1.1,0.12,1,0.21,FS,0.02,2.1e-16,2e-17,1.969542420762205,0.2148591731740587,23Na,3/2,3,2,1,True,-0.2232,-0.0087,-0.2334,0.4652
86,23,Na,11,12,4429.63,0.16,1/2,0.21 FS 0.02,2038.6,0.0,9.9,0.3,[M1],1.11,0.12,1,0.21,FS,0.02,2.1e-16,2e-17,1.9874473518600435,0.2148591731740587,23Na,1/2,1,2,1,True,-0.1848,0.0155,-0.0698,0.2392
87,23,Na,11,12,6115.1,0.6,11/2,35 FS 9,3411.0,1.0,100.0,0.9,M1,0.012,0.004,11,35.0,FS,9.0,3.5e-14,9.000000000000001e-15,0.0214859173174058,0.0071619724391352,23Na,9/2,9,2,1,True,0.0303,-0.0067,0.0179,-0.0415
88,23,Na,11,12,6235.4,0.6,13/2,16 FS 8,701.0,1.0,12.0,6.0,(M1),0.4,0.3,13,16.0,FS,8.0,1.6e-14,8e-15,0.7161972439135291,0.5371479329351467,23Na,11/2,11,1,1,True,-0.0912,0.0317,-0.1979,0.2574
90,26,Mg,12,14,4835.13,0.05,2,28 FS 6,1896.72,0.05,100.0,0.4,M1,0.096,0.021,4,28.0,FS,6.0,2.8e-14,6.000000000000001e-15,0.1718873385392469,0.0376003553054602,26Mg,2,4,4,2,True,0.021,-0.0153,0.1358,-0.1416
91,26,Mg,12,14,6125.47,0.05,3,14 FS 6,1775.31,0.05,100.0,1.4,[M1],0.2,0.09,6,14.0,FS,6.0,1.4e-14,6.000000000000001e-15,0.3580986219567645,0.161144379880544,26Mg,3,6,3,2,True,-0.0589,0.0937,-0.2524,0.2175
92,26,Mg,12,14,6622.94,0.14,4,19 FS 5,1146.9,0.0,19.0,2.0,[M1],0.063,0.018,8,19.0,FS,5.0,1.9e-14,5.000000000000001e-15,0.1128010659163808,0.0322288759761088,26Mg,4,8,5,3,True,0.0278,-0.002,0.0625,-0.0883
93,31,Mg,12,19,50.1,0.2,3/2,16 NS 3,50.2,0.2,100.0,0.0,[M1],0.0106,0.0021,3,16.0,NS,3.0,1.6e-08,3e-09,0.0189792269637085,0.003760035530546,31Mg,1/2,1,1,1,True,-0.0189,-0.012,-0.123,0.1539
94,25,Al,13,12,2485.3,0.9,1/2,4 FS 2,2033.4,1.0,100.0,4.0,M1,0.5,0.3,1,4.0,FS,2.0,4e-15,2e-15,0.8952465548919113,0.5371479329351467,25Al,1/2,1,2,1,True,0.1774,0.0028,-0.1096,-0.0706
95,26,Al,13,13,1057.739,0.012,1,25 FS 5,829.3,0.4,100.0,0.0,M1,1.5,0.3,2,25.0,FS,5.0,2.5e-14,5.000000000000001e-15,2.685739664675734,0.5371479329351467,26Al,0,0,1,1,True,0.1298,-0.1298,0.4932,-0.4932
96,26,Al,13,13,1850.62,0.03,1,32 FS 3,1622.0,0.7,100.0,0.1,M1,0.16,0.015,2,32.0,FS,3.0,3.2e-14,3.0000000000000002e-15,0.2864788975654116,0.0268573966467573,26Al,0,0,2,1,True,0.0975,-0.0975,-0.1505,0.1505
97,26,Al,13,13,2069.47,0.03,2,14 FS 2,1011.71,0.0,100.0,1.2,[M1],1.14,0.17,4,14.0,FS,2.0,1.4e-14,2e-15,2.041162145153557,0.3043838286632498,26Al,1,2,2,1,True,0.1268,-0.1268,0.5151,-0.5151
98,26,Al,13,13,2069.47,0.03,2,14 FS 2,310.43,0.0,0.23,0.03,[M1],0.091,0.018,4,14.0,FS,2.0,1.4e-14,2e-15,0.1629348729903278,0.0322288759761088,26Al,2,4,2,1,True,-0.0618,0.0618,0.008,-0.008
99,26,Al,13,13,2069.47,0.03,2,14 FS 2,218.85,0.0,0.053,0.013,[M1],0.06,0.017,4,14.0,FS,2.0,1.4e-14,2e-15,0.1074295865870293,0.0304383828663249,26Al,1,2,2,2,True,-0.0585,0.0585,0.0391,-0.0391
100,26,Al,13,13,2069.47,0.03,2,14 FS 2,1652.56,0.0,28.4,1.1,[M1],0.075,0.011,4,14.0,FS,2.0,1.4e-14,2e-15,0.1342869832337866,0.019695424207622,26Al,3,6,2,1,True,0.0433,-0.0433,0.0407,-0.0407
101,26,Al,13,13,2365.15,0.018,3,0.8 PS 0.2,295.678,0.0,100.0,2.0,[M1],0.54,0.14,6,0.8,PS,0.2,8e-13,2e-13,0.9668662792832644,0.2506690353697351,26Al,2,4,2,2,True,-0.0241,0.0241,-0.3438,0.3438
102,26,Al,13,13,2545.367,0.017,3,0.69 PS 0.17,475.892,0.0,100.0,1.5,[M1],0.2,0.05,6,0.69,PS,0.17,6.899999999999999e-13,1.7e-13,0.3580986219567645,0.0895246554891911,26Al,2,4,3,2,True,0.0146,-0.0146,0.1997,-0.1997
104,26,Al,13,13,2740.03,0.03,1,31 FS 3,2511.59,0.0,100.0,0.2,M1,0.044,0.005,2,31.0,FS,3.0,3.1e-14,3.0000000000000002e-15,0.0787816968304881,0.0089524655489191,26Al,0,0,4,1,True,0.0513,-0.0513,-0.0902,0.0902
105,26,Al,13,13,2913.4,0.05,2,68 FS 4,843.92,0.0,100.0,1.3,[M1],0.365,0.023,4,68.0,FS,4.0,6.8e-14,4e-15,0.6535299850710953,0.0411813415250279,26Al,2,4,4,2,True,0.0799,-0.0799,-0.0328,0.0328
106,26,Al,13,13,3073.63,0.04,3,194 FS 31,1004.14,0.0,100.0,0.6,[M1],0.093,0.015,6,194.0,FS,31.0,1.94e-13,3.1e-14,0.1665158592098955,0.0268573966467573,26Al,2,4,4,2,True,0.0617,-0.0617,0.1221,-0.1221
107,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2102.058,0.0,25.7,0.8,M1,0.09,0.03,4,3.5,FS,0.7,3.5e-15,7e-16,0.161144379880544,0.0537147932935146,26Al,1,2,5,1,True,0.0199,-0.0199,0.1158,-0.1158
108,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,614.514,0.0,2.24,0.08,[M1],0.39,0.08,4,3.5,FS,0.7,3.5e-15,7e-16,0.6982923128156908,0.1432394487827058,26Al,3,6,5,3,True,-0.0728,0.0728,-0.2754,0.2754
109,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1400.814,0.0,23.1,0.6,[M1],0.34,0.07,4,3.5,FS,0.7,3.5e-15,7e-16,0.6087676573264997,0.1253345176848675,26Al,2,4,5,1,True,0.0613,-0.0613,0.3027,-0.3027
111,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1088.224,0.0,4.25,0.13,[M1],0.13,0.03,4,3.5,FS,0.7,3.5e-15,7e-16,0.2327641042718969,0.0537147932935146,26Al,1,2,5,3,True,-0.0371,0.0371,-0.0112,0.0112
112,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2742.881,0.0,100.0,1.1,M1,0.16,0.06,4,3.5,FS,0.7,3.5e-15,7e-16,0.2864788975654116,0.1074295865870293,26Al,3,6,5,1,True,-0.1217,0.1217,0.1669,-0.1669
113,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,794.726,0.0,0.35,0.08,[M1],0.028,0.009,4,3.5,FS,0.7,3.5e-15,7e-16,0.050133807073947,0.0161144379880544,26Al,3,6,5,2,True,0.0022,-0.0022,-0.0525,0.0525
114,26,Al,13,13,3596.34,0.04,3,18 FS 3,1526.82,0.0,100.0,0.22,[M1],0.32,0.06,6,18.0,FS,3.0,1.8000000000000002e-14,3.0000000000000002e-15,0.5729577951308232,0.1074295865870293,26Al,2,4,5,2,True,0.068,-0.068,0.2291,-0.2291
115,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,1611.16,0.0,100.0,0.21,[M1],0.59,0.1,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,1.0563909347724554,0.1790493109783822,26Al,2,4,6,2,True,-0.0584,0.0584,-0.0869,0.0869
116,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,520.79,0.0,0.28,0.04,[M1],0.049,0.011,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,0.0877341623794073,0.019695424207622,26Al,2,4,6,5,True,-0.0006,0.0006,-0.1171,0.1171
117,26,Al,13,13,3723.81,0.04,1,4.2 FS 1.4,3495.25,0.0,100.0,0.1,M1,0.12,0.04,2,4.2,FS,1.4,4.2000000000000004e-15,1.4e-15,0.2148591731740587,0.0716197243913529,26Al,0,0,5,1,True,0.0234,-0.0234,0.1328,-0.1328
118,26,Al,13,13,3750.9,0.04,2,22 FS 6,1681.37,0.0,100.0,3.0,[M1],0.14,0.04,4,22.0,FS,6.0,2.2e-14,6.000000000000001e-15,0.2506690353697351,0.0716197243913529,26Al,2,4,6,2,True,0.0459,-0.0459,0.0552,-0.0552
119,26,Al,13,13,3750.9,0.04,2,22 FS 6,591.0,0.0,23.2,1.4,[M1],0.76,0.22,4,22.0,FS,6.0,2.2e-14,6.000000000000001e-15,1.3607747634357052,0.3939084841524409,26Al,2,4,6,5,True,-0.1277,0.1277,-0.2968,0.2968
120,26,Al,13,13,3753.63,0.13,0,5 FS 2,1681.93,0.0,11.0,0.3,[M1],0.09,0.04,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.161144379880544,0.0716197243913529,26Al,1,2,2,3,True,0.0606,-0.0606,-0.2533,0.2533
121,26,Al,13,13,3753.63,0.13,0,5 FS 2,1013.58,0.0,2.2,0.3,[M1],0.08,0.04,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.1432394487827058,0.0716197243913529,26Al,1,2,2,4,True,-0.0544,0.0544,0.1248,-0.1248
122,26,Al,13,13,3753.63,0.13,0,5 FS 2,2695.74,0.0,100.0,0.5,[M1],0.19,0.08,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.3401936908589263,0.1432394487827058,26Al,1,2,2,1,True,0.036,-0.036,0.4171,-0.4171
123,26,Al,13,13,3753.63,0.13,0,5 FS 2,1902.93,0.0,3.0,0.4,[M1],0.017,0.007,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0304383828663249,0.0125334517684867,26Al,1,2,2,2,True,-0.0053,0.0053,-0.1318,0.1318
124,26,Al,13,13,3962.83,0.05,3,37 FS 5,1893.29,0.0,100.0,1.4,[M1],0.062,0.009,6,37.0,FS,5.0,3.7e-14,5.000000000000001e-15,0.111010572806597,0.0161144379880544,26Al,2,4,7,2,True,-0.0435,0.0435,-0.0904,0.0904
125,26,Al,13,13,4191.92,0.06,3,5 FS 2,3774.77,0.0,100.0,1.5,[M1],0.048,0.02,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0859436692696234,0.0358098621956764,26Al,3,6,8,1,True,-0.0036,0.0036,-0.1924,0.1924
126,26,Al,13,13,4191.92,0.06,3,5 FS 2,595.57,0.0,1.5,0.12,[M1],0.18,0.08,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.322288759761088,0.1432394487827058,26Al,3,6,8,5,True,0.0047,-0.0047,0.0749,-0.0749
127,26,Al,13,13,4191.92,0.06,3,5 FS 2,2122.97,0.0,40.6,1.2,[M1],0.11,0.05,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.1969542420762204,0.0895246554891911,26Al,4,8,8,1,True,0.0479,-0.0479,0.1061,-0.1061
128,26,Al,13,13,4191.92,0.06,3,5 FS 2,1826.7,0.0,15.8,0.9,[M1],0.07,0.03,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.1253345176848675,0.0537147932935146,26Al,3,6,8,2,True,0.0406,-0.0406,0.0168,-0.0168
129,26,Al,13,13,4191.92,0.06,3,5 FS 2,1646.5,0.0,3.57,0.17,[M1],0.021,0.009,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0376003553054602,0.0161144379880544,26Al,3,6,8,3,True,0.03,-0.03,0.0263,-0.0263
131,26,Al,13,13,4349.34,0.07,3,9 FS 3,2279.76,0.0,100.0,0.6,[M1],0.19,0.07,6,9.0,FS,3.0,9.000000000000001e-15,3.0000000000000002e-15,0.3401936908589263,0.1253345176848675,26Al,2,4,9,2,True,-0.088,0.088,-0.1422,0.1422
132,26,Al,13,13,4599.17,0.05,3,5 FS 2,1938.17,0.0,13.8,0.6,[M1],0.04,0.016,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0716197243913529,0.0286478897565411,26Al,2,4,10,3,True,0.0685,-0.0685,0.1182,-0.1182
133,26,Al,13,13,4599.17,0.05,3,5 FS 2,848.26,0.0,3.8,0.4,[M1],0.13,0.06,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.2327641042718969,0.1074295865870293,26Al,2,4,10,6,True,0.082,-0.082,0.154,-0.154
134,26,Al,13,13,4599.17,0.05,3,5 FS 2,1685.71,0.0,7.1,0.4,[M1],0.031,0.013,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0555052864032985,0.0232764104271896,26Al,2,4,10,4,True,-0.006,0.006,-0.1154,0.1154
135,26,Al,13,13,4599.17,0.05,3,5 FS 2,1525.49,0.0,2.1,0.21,[M1],0.012,0.006,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0214859173174058,0.0107429586587029,26Al,3,6,10,4,True,-0.0082,0.0082,0.0432,-0.0432
136,26,Al,13,13,4599.17,0.05,3,5 FS 2,2839.97,0.0,100.0,1.9,[M1],0.09,0.04,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.161144379880544,0.0716197243913529,26Al,2,4,10,1,True,-0.0367,0.0367,-0.2321,0.2321
137,26,Al,13,13,4599.17,0.05,3,5 FS 2,924.23,0.0,6.5,0.4,[M1],0.17,0.07,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.3043838286632498,0.1253345176848675,26Al,4,8,10,2,True,0.0785,-0.0785,0.2345,-0.2345
138,26,Al,13,13,4599.17,0.05,3,5 FS 2,2053.72,0.0,10.5,0.4,[M1],0.026,0.011,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.0465528208543793,0.019695424207622,26Al,3,6,10,3,True,-0.0369,0.0369,-0.179,0.179
139,26,Al,13,13,4599.17,0.05,3,5 FS 2,918.47,0.0,1.66,0.1,[M1],0.045,0.019,6,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.080572189940272,0.0340193690858926,26Al,3,6,10,6,True,-0.0045,0.0045,0.0399,-0.0399
140,26,Al,13,13,4773.35,0.06,4,82 FS 12,581.42,0.0,13.7,1.0,[M1],0.056,0.01,8,82.0,FS,12.0,8.2e-14,1.2e-14,0.100267614147894,0.0179049310978382,26Al,3,6,5,8,True,0.0221,-0.0221,0.1535,-0.1535
144,26,Al,13,13,5245.28,0.04,4,12 FS 3,1053.34,0.0,100.0,2.2,[M1],0.72,0.19,8,12.0,FS,3.0,1.2e-14,3.0000000000000002e-15,1.2891550390443522,0.3401936908589263,26Al,3,6,7,8,True,0.104,-0.104,0.1533,-0.1533
145,26,Al,13,13,5245.28,0.04,4,12 FS 3,539.9,0.0,5.9,0.4,[M1],0.32,0.09,8,12.0,FS,3.0,1.2e-14,3.0000000000000002e-15,0.5729577951308232,0.161144379880544,26Al,4,8,7,4,True,-0.0555,0.0555,0.0044,-0.0044
147,26,Al,13,13,5513.48,0.04,4,35 FS 4,381.55,0.0,0.7,0.14,[M1],0.029,0.007,8,35.0,FS,4.0,3.5e-14,4e-15,0.0519243001837308,0.0125334517684867,26Al,4,8,8,6,True,-999.0,-999.0,-999.0,-999.0
148,26,Al,13,13,5513.48,0.04,4,35 FS 4,1321.52,0.0,100.0,3.0,[M1],0.101,0.012,8,35.0,FS,4.0,3.5e-14,4e-15,0.1808398040881661,0.0214859173174058,26Al,3,6,8,8,True,-999.0,-999.0,-999.0,-999.0
151,26,Al,13,13,5544.56,0.07,2,15 FS 13,1793.59,0.0,71.0,4.0,[M1],0.05,0.04,4,15.0,FS,13.0,1.5000000000000002e-14,1.3e-14,0.0895246554891911,0.0716197243913529,26Al,2,4,10,6,True,-999.0,-999.0,-999.0,-999.0
157,27,Al,13,14,5667.3,1.2,9/2,11 FS 3,1156.9,1.4,20.0,8.0,(M1),0.14,0.07,9,11.0,FS,3.0,1.1e-14,3.0000000000000002e-15,0.2506690353697351,0.1253345176848675,27Al,11/2,11,3,1,True,0.0283,-0.0825,0.0368,0.0173
158,28,Al,13,15,30.6382,0.0007,2,2.07 NS 0.05,30.6382,0.0007,100.0,0.0,M1,0.37,0.009,4,2.07,NS,0.05,2.07e-09,5.000000000000001e-11,0.6624824506200143,0.0161144379880544,28Al,3,6,1,1,True,-0.0093,0.1138,-0.2106,0.106
159,28,Al,13,15,1013.637,0.009,3,103 FS 14,1013.676,0.021,61.0,7.0,[M1],0.078,0.016,6,103.0,FS,14.0,1.03e-13,1.4e-14,0.1396584625631381,0.0286478897565411,28Al,3,6,2,1,True,-0.0154,-0.1015,0.0085,0.1083
160,28,Al,13,15,1372.917,0.02,1,223 FS 35,400.58,0.03,63.0,7.0,[M1],0.54,0.12,2,223.0,FS,35.0,2.23e-13,3.5e-14,0.9668662792832644,0.2148591731740587,28Al,0,0,1,1,True,0.1493,-0.0183,0.0625,-0.1936
161,28,Al,13,15,1620.3,0.04,1,92 FS 22,647.93,0.07,4.4,2.5,[M1],0.034,0.022,2,92.0,FS,22.0,9.200000000000001e-14,2.2e-14,0.0608767657326499,0.039390848415244,28Al,0,0,2,1,True,-0.0254,-0.0113,-0.217,0.2537
162,28,Al,13,15,1622.907,0.02,2,63 FS 10,1622.87,0.06,100.0,11.0,[M1],0.073,0.016,4,63.0,FS,10.0,6.300000000000001e-14,1.0000000000000002e-14,0.130705997014219,0.0286478897565411,28Al,3,6,2,1,True,0.0063,0.0477,-0.212,0.158
163,28,Al,13,15,2271.745,0.019,4,22 FS 3,2271.65,0.023,100.0,5.0,[M1],0.079,0.013,8,22.0,FS,3.0,2.2e-14,3.0000000000000002e-15,0.1414489556729219,0.0232764104271896,28Al,3,6,1,1,True,-0.0507,0.0358,-0.033,0.0479
165,28,Al,13,15,2486.2,0.06,2,66 FS 7,865.87,0.15,100.0,13.0,[M1],0.3,0.06,4,66.0,FS,7.0,6.600000000000002e-14,7e-15,0.5371479329351467,0.1074295865870293,28Al,1,2,4,2,True,-0.1498,-0.0387,-0.0253,0.2138
166,28,Al,13,15,2581.81,0.22,5,313 FS 25,310.2,0.0,6.0,2.0,[M1],0.13,0.05,10,313.0,FS,25.0,3.130000000000001e-13,2.5e-14,0.2327641042718969,0.0895246554891911,28Al,4,8,1,1,True,0.0101,-0.0953,0.1251,-0.0399
167,28,Al,13,15,2656.3,0.04,4,22 FS 3,1642.35,0.1,100.0,5.0,[M1],0.16,0.03,8,22.0,FS,3.0,2.2e-14,3.0000000000000002e-15,0.2864788975654116,0.0537147932935146,28Al,3,6,2,2,True,-0.0984,-0.0871,-0.1675,0.3531
168,30,Al,13,17,687.52,0.12,1,0.7 PS 0.2,443.63,0.08,100.0,2.0,(M1),0.35,0.1,2,0.7,PS,0.2,6.999999999999999e-13,2e-13,0.6266725884243378,0.1790493109783822,30Al,2,4,1,1,True,-0.1352,-0.0675,-0.3258,0.5285
169,30,Al,13,17,1118.9,0.3,3,83 FS 55,875.1,0.5,100.0,4.0,M1,0.4,0.3,6,83.0,FS,55.0,8.300000000000001e-14,5.5000000000000005e-14,0.7161972439135291,0.5371479329351467,30Al,2,4,2,1,True,0.0617,-0.0416,0.2534,-0.2735
170,27,Si,14,13,957.4,0.2,3/2,1.20 PS 0.08,176.4,0.0,6.42,0.29,(M1),0.17,0.06,3,1.2,PS,0.08,1.2e-12,8e-14,0.3043838286632498,0.1074295865870293,27Si,1/2,1,1,1,True,0.0083,-0.0141,0.1967,-0.1909
171,27,Si,14,13,2909.9,0.2,9/2,52 FS 6,746.2,0.0,6.4,2.2,(M1),0.061,0.023,9,52.0,FS,6.0,5.2000000000000006e-14,6.000000000000001e-15,0.1092200796968131,0.0411813415250279,27Si,7/2,7,1,1,True,-0.0088,0.0171,-0.2013,0.1931
172,27,Si,14,13,4289.2,0.9,5/2,3.5 FS 1.4,4288.8,0.0,100.0,8.0,M1,0.041,0.018,5,3.5,FS,1.4,3.5e-15,1.4e-15,0.0734102175011367,0.0322288759761088,27Si,5/2,5,3,1,True,0.0063,0.0982,-0.1338,0.0292
