,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include
213,29,Si,14,15,4895.2,0.4,5/2,12 FS 5,4893.8,1.2,33.0,4.0,(E2),,,,,0.6,0.3,5,12.0,FS,5.0,1.2e-14,5.000000000000001e-15,3.175651735248459,1.5878258676242294,29Si,1/2,1,3,1,True
214,30,Si,14,16,2235.322,0.018,2,215 FS 28,2235.23,0.02,100.0,0.0,E2,,,0.000436,6e-06,8.5,1.1,4,215.0,FS,28.0,2.1500000000000002e-13,2.8e-14,47.06862948153772,6.091234403493117,30Si,0,0,1,1,True
215,30,Si,14,16,3498.49,0.03,2,58 FS 17,3498.33,0.05,98.0,3.0,E2,,,0.000994,1.4e-05,1.7,0.5,4,58.0,FS,17.0,5.8e-14,1.7e-14,9.413725896307543,2.7687429106786894,30Si,0,0,2,1,True
216,30,Si,14,16,4810.31,0.11,2,104 FS 15,4810.0,0.3,100.0,7.0,E2,,,0.001434,2e-05,0.17,0.03,4,104.0,FS,15.0,1.0400000000000001e-13,1.5000000000000002e-14,0.9413725896307544,0.1661245746407213,30Si,0,0,3,1,True
217,30,Si,14,16,5279.37,0.14,4,83 FS 22,3043.2,0.1,100.0,0.3,(E2),,,0.000808,1.2e-05,4.7,1.3,8,83.0,FS,22.0,8.300000000000001e-14,2.2e-14,26.02618336037968,7.198731567764592,30Si,2,4,1,1,True
218,30,Si,14,16,5372.2,0.6,0,59 FS 21,3136.6,0.7,100.0,27.0,E2,,,0.000847,1.2e-05,3.4,1.7,0,59.0,FS,21.0,5.9e-14,2.1e-14,18.827451792615086,9.413725896307543,30Si,2,4,3,1,True
219,30,Si,14,16,5950.73,0.15,4,15 FS 8,3714.9,0.2,100.0,3.0,(E2),,,0.001074,1.5e-05,9.0,5.0,8,15.0,FS,8.0,1.5000000000000002e-14,8e-15,49.83737239221641,27.68742910678689,30Si,2,4,2,1,True
220,30,Si,14,16,5950.73,0.15,4,15 FS 8,2452.6,1.3,5.0,3.0,(E2),,,0.00054,8e-06,4.0,3.0,8,15.0,FS,8.0,1.5000000000000002e-14,8e-15,22.149943285429515,16.612457464072136,30Si,2,4,2,2,True
221,32,Si,14,18,1941.4,0.3,2,0.78 PS 0.22,1941.4,0.3,100.0,0.0,E2,,,,,4.4,1.3,4,0.78,PS,0.22,7.8e-13,2.2e-13,26.554427041091664,7.845626171231627,32Si,0,0,1,1,True
222,32,Si,14,18,4230.8,0.8,2,0.26 PS 0.09,4230.0,1.5,100.0,5.0,[E2],,,,,0.17,0.06,4,0.26,PS,0.09,2.6e-13,9e-14,1.0259664993149051,0.3621058232876135,32Si,0,0,2,1,True
223,34,Si,14,20,3327.14,0.2,2,82 FS 32,3326.96,0.2,100.0,0.0,[E2],,,,,2.6,1.0,4,82.0,FS,32.0,8.2e-14,3.2e-14,17.01229317257016,6.543189681757753,34Si,0,0,1,1,True
224,31,P,15,16,2233.6,0.1,5/2,269 FS 18,2233.6,0.1,100.0,0.0,E2,,,,,6.4,0.5,5,269.0,FS,18.0,2.69e-13,1.8000000000000002e-14,37.02370299500025,2.8924767964843943,31P,1/2,1,1,1,True
225,31,P,15,16,3295.0,0.2,5/2,88 FS 10,3294.7,0.7,1.08,0.19,[E2],,,,,0.024,0.005,5,88.0,FS,10.0,8.8e-14,1.0000000000000002e-14,0.1388388862312509,0.0289247679648439,31P,1/2,1,2,1,True
226,31,P,15,16,3414.6,0.3,7/2,219 FS 17,2148.4,0.1,100.0,0.6,E2,,,,,9.5,0.8,7,219.0,FS,17.0,2.1900000000000005e-13,1.7e-14,54.95705913320349,4.627962874375031,31P,3/2,3,1,1,True
227,31,P,15,16,4634.2,0.8,7/2,68 FS 10,3367.6,0.7,9.0,3.0,[E2],,,,,0.1,0.04,7,68.0,FS,10.0,6.8e-14,1.0000000000000002e-14,0.5784953592968789,0.2313981437187515,31P,3/2,3,2,1,True
228,31,P,15,16,4783.4,1.1,5/2,6.9 FS 2.8,4783.4,0.0,100.0,4.0,E2,,,,,2.4,1.0,5,6.9,FS,2.8,6.900000000000001e-15,2.8e-15,13.883888623125092,5.7849535929687885,31P,1/2,1,4,1,True
229,31,P,15,16,5342.9,1.5,9/2,36 FS 8,3109.4,0.6,19.0,2.0,E2,,,,,1.4,0.4,9,36.0,FS,8.0,3.6000000000000004e-14,8e-15,8.098935030156303,2.313981437187516,31P,5/2,5,1,1,True
