,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,Mult Ratio,Mult Ratio Unc,Conv Coef,Conv Coef Unc,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (e^2fm^4),B_exp Unc (e^2fm^4),Nucleus,Jf,twoJf,ni,nf,Include
285,38,Ar,18,20,6276.1,0.4,4,81 FS 35,2339.5,0.0,31.0,8.0,[E2],,,,,1.9,2.8,8,81.0,FS,35.0,8.100000000000002e-14,3.5e-14,14.419471756412822,21.249747851555732,38Ar,2,4,3,2,False
286,38,Ar,18,20,6408.32,0.1,6,1.0 PS 0.3,1058.0,1.0,3.3,0.4,[E2],,,,,1.8,1.2,12,1.0,PS,0.3,1e-12,3e-13,13.660552190285832,9.107034793523887,38Ar,4,8,1,1,False
287,38,Ar,18,20,7288.32,0.24,6,27 FS 13,1939.4,0.7,100.0,4.0,E2,,,,,70.0,70.0,12,27.0,FS,13.0,2.7e-14,1.3e-14,531.2436962888935,531.2436962888935,38Ar,4,8,2,1,False
288,38,Ar,18,20,7288.32,0.24,6,27 FS 13,1236.0,1.0,5.1,1.3,[E2],,,,,33.0,53.0,12,27.0,FS,13.0,2.7e-14,1.3e-14,250.4434568219069,402.227370047305,38Ar,4,8,2,2,False
289,38,Ar,18,20,9339.2,0.4,8,73 FS 17,2931.0,1.0,24.1,2.5,[E2],,,,,0.8,0.5,16,73.0,FS,17.0,7.3e-14,1.7e-14,6.071356529015926,3.794597830634953,38Ar,6,12,2,1,False
290,38,Ar,18,20,9339.2,0.4,8,73 FS 17,2051.3,0.6,100.0,8.0,E2,,,,,20.0,8.0,16,73.0,FS,17.0,7.3e-14,1.7e-14,151.78391322539812,60.71356529015925,38Ar,6,12,2,2,False
291,38,Ar,18,20,9339.2,0.4,8,73 FS 17,1848.0,1.0,16.5,2.5,[E2],,,,,5.6,3.3,16,73.0,FS,17.0,7.3e-14,1.7e-14,42.49949570311147,25.04434568219069,38Ar,6,12,2,3,False
292,38,K,19,19,458.53,0.16,1,7.0 PS 0.6,458.6,0.3,1.01,0.16,[E2],,,0.00077,,5.2,1.5,2,7.0,PS,0.6,7e-12,6e-13,39.46381743860351,11.38379349190486,38K,3,6,1,1,True
293,38,K,19,19,1697.65,0.25,1,48 FS 10,1698.0,0.0,0.08,0.04,[E2],,,0.000197,,0.09,0.08,2,48.0,FS,10.0,4.8e-14,1.0000000000000002e-14,0.6830276095142915,0.6071356529015925,38K,3,6,2,1,True
294,38,K,19,19,2401.12,0.19,2,52 FS 15,2270.5,0.9,8.0,2.0,[E2],,,0.000461,,1.8,1.4,4,52.0,FS,15.0,5.2000000000000006e-14,1.5000000000000002e-14,13.660552190285832,10.624873925777868,38K,0,0,1,1,True
295,39,K,19,20,7776.31,0.22,17/2,1.0 PS 0.3,1341.7,0.4,100.0,4.0,E2,,,,,8.9,4.7,17,1.0,PS,0.3,1e-12,3e-13,69.92413516111775,36.92622868059027,39K,13/2,13,1,1,False
296,40,Ca,20,20,3904.38,0.03,2,35 FS 7,3903.9,0.1,100.0,0.0,E2,,,,,2.2,0.6,4,35.0,FS,7.0,3.5e-14,7e-15,17.878055872265186,4.875833419708687,40Ca,0,0,1,1,False
297,40,Ca,20,20,3904.38,0.03,2,35 FS 7,551.8,0.0,0.1,0.0,[E2],,,,,49.0,0.0,4,35.0,FS,7.0,3.5e-14,7e-15,398.1930626095427,0.0,40Ca,0,0,1,2,False
298,40,Ca,20,20,5211.56,0.17,0,1.02 PS 0.21,1307.7,0.3,100.0,0.0,[E2],,,,,17.0,4.0,0,1.02,PS,0.21,1.02e-12,2.1e-13,138.1486135584128,32.505556131391245,40Ca,2,4,3,1,False
299,40,Ca,20,20,5248.79,0.05,2,83 FS +11-9,1896.1,0.0,6.3,0.8,(E2),,,,,1.5,0.6,4,83.0,FS,11.0,8.300000000000001e-14,1.1e-14,12.189583549271717,4.875833419708687,40Ca,0,0,2,2,False
300,40,Ca,20,20,5278.8,0.06,4,0.21 PS 0.04,1374.0,0.3,100.0,1.5,E2,,,,,67.0,17.0,8,0.21,PS,0.04,2.1e-13,4e-14,544.4680652008034,138.1486135584128,40Ca,2,4,1,1,False
301,40,Ca,20,20,5629.41,0.06,2,40 FS 15,2277.0,1.0,14.0,1.0,[E2],,,,,3.3,2.3,4,40.0,FS,15.0,4.0000000000000006e-14,1.5000000000000002e-14,26.817083808397776,18.690694775549964,40Ca,0,0,3,2,False
302,40,Ca,20,20,6507.87,0.13,4,128 FS 21,2603.2,0.3,100.0,4.0,E2,,,,,3.7,1.1,8,128.0,FS,21.0,1.28e-13,2.1e-14,30.067639421536903,8.939027936132593,40Ca,2,4,2,1,False
303,40,Ca,20,20,6507.87,0.13,4,128 FS 21,1259.0,0.0,17.0,4.0,[E2],,,,,24.0,13.0,8,128.0,FS,21.0,1.28e-13,2.1e-14,195.03333678834747,105.64305742702156,40Ca,2,4,2,2,False
304,40,Ca,20,20,6542.8,0.09,4,121 FS 21,1294.0,0.0,24.0,3.0,(E2),,,,,22.0,10.0,8,121.0,FS,21.0,1.2100000000000001e-13,2.1e-14,178.78055872265185,81.26389032847811,40Ca,2,4,3,2,False
305,40,Ca,20,20,6542.8,0.09,4,121 FS 21,913.3,0.0,32.0,3.0,E2,,,,,170.0,70.0,8,121.0,FS,21.0,1.2100000000000001e-13,2.1e-14,1381.486135584128,568.8472322993468,40Ca,2,4,3,3,False
306,40,Ca,20,20,6930.2,0.3,6,0.34 PS +0.09-0.17,1651.8,0.4,100.0,0.0,E2,,,,,17.0,17.0,12,0.34,PS,0.17,3.4e-13,1.7e-13,138.1486135584128,138.1486135584128,40Ca,4,8,1,1,False
307,40,Ca,20,20,7300.67,0.11,0,118 FS 35,2050.3,0.5,100.0,1.6,[E2],,,,,16.0,8.0,0,118.0,FS,35.0,1.18e-13,3.5e-14,130.02222452556498,65.01111226278249,40Ca,2,4,4,2,False
308,40,Ca,20,20,7300.67,0.11,0,118 FS 35,1671.3,0.0,5.3,1.6,[E2],,,,,1.8,1.8,0,118.0,FS,35.0,1.18e-13,3.5e-14,14.62750025912606,14.62750025912606,40Ca,2,4,4,3,False
309,40,Ca,20,20,7466.35,0.07,2,8 FS 4,4113.5,0.0,21.0,1.8,[E2],,,,,0.9,1.2,4,8.0,FS,4.0,8e-15,4e-15,7.31375012956303,9.751666839417371,40Ca,0,0,7,2,False
310,40,Ca,20,20,7561.17,0.07,4,0.17 PS 0.04,2312.1,1.0,100.0,13.0,[E2],,,,,3.9,1.7,8,0.17,PS,0.04,1.7e-13,4e-14,31.692917228106463,13.81486135584128,40Ca,2,4,4,2,False
311,40,Ca,20,20,7676.6,0.5,6,0.20 PS 0.05,2399.2,0.5,100.0,0.0,(E2),,,,,4.4,1.5,12,0.2,PS,0.05,2e-13,5e-14,35.75611174453037,12.189583549271717,40Ca,4,8,2,1,False
312,40,Ca,20,20,7976.55,0.03,2,21 FS 21,4624.0,0.0,60.0,0.0,[E2],,,,,0.24,0.0,4,21.0,FS,21.0,2.1e-14,2.1e-14,1.9503333678834749,0.0,40Ca,0,0,9,2,False
313,40,Ca,20,20,7976.55,0.03,2,21 FS 21,2699.0,0.0,20.0,0.0,[E2],,,,,1.2,0.0,4,21.0,FS,21.0,2.1e-14,2.1e-14,9.751666839417371,0.0,40Ca,4,8,9,1,False
314,40,Ca,20,20,8100.1,0.7,8,12.5 PS 1.7,1168.8,0.3,100.0,0.0,E2,,,,,2.6,0.4,16,12.5,PS,1.7,1.25e-11,1.6999999999999998e-12,21.12861148540431,3.2505556131391247,40Ca,6,12,1,1,False
