,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,B_th_free (W.u.),B_th_brown (W.u.),B_rel_err_free,B_rel_err_brown,B_residual_free,B_residual_brown,B_residual_free (Abs),B_residual_brown (Abs)
63,75,22,Na,11,11,2968.6,0.6,3,32 FS 4,1016.8,0.5,100.0,0.0,M1,0.65,0.09,6,32.0,FS,4.0,3.2e-14,4e-15,1.1638205213594848,0.161144379880544,22Na,2,4,3,1,True,0.1069,-0.1069,-0.0981,0.0981,0.4606378361071731,0.36428003156961447,0.2913264059889644,0.43956918220059316,0.3622042395482244,0.5465135260475902,0.3622042395482244,0.5465135260475902
60,71,21,Ne,10,11,4684.53,0.15,3/2,11 FS 3,4333.35,0.25,100.0,3.0,M1,0.015,0.005,3,11.0,FS,3.0,1.1e-14,3.0000000000000002e-15,0.0268573966467573,0.0089524655489191,21Ne,5/2,5,2,1,True,-0.0133,-0.1975,0.1017,0.1092,0.3425991977361529,0.30647790837278777,-21.839946515743524,-19.43186055818585,-0.6360849692124073,-0.5659498486401234,0.6360849692124073,0.5659498486401234
77,91,26,Mg,12,14,6125.47,0.05,3,14 FS 6,1775.31,0.05,100.0,1.4,[M1],0.2,0.09,6,14.0,FS,6.0,1.4e-14,6.000000000000001e-15,0.3580986219567645,0.161144379880544,26Mg,3,6,3,2,True,-0.0589,0.0937,-0.2524,0.2175,0.4935494085350622,0.5021504131103688,-1.4677470426753108,-1.5107520655518438,-0.561489360400686,-0.5779410118684676,0.561489360400686,0.5779410118684676
87,101,26,Al,13,13,2365.15,0.018,3,0.8 PS 0.2,295.678,0.0,100.0,2.0,[M1],0.54,0.14,6,0.8,PS,0.2,8e-13,2e-13,0.9668662792832644,0.2506690353697351,26Al,2,4,2,2,True,-0.0241,0.0241,-0.3438,0.3438,0.18190932061041337,0.22816669799242456,0.6631308877584938,0.5774690777918065,0.6709713307543557,0.5842967093648188,0.6709713307543557,0.5842967093648188
17,26,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2167.0,0.0,3.9,0.2,M1,0.33,0.11,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.5908627262286614,0.1969542420762204,18F,3,6,5,3,True,-0.071,-0.071,0.071,0.071,0.0016240704037765365,0.000794058883240224,0.9950785745340105,0.9975937609598781,0.6235579267501321,0.6251340479462281,0.6235579267501321,0.6251340479462281
150,180,30,P,15,15,3019.2,0.1,1,2 FS 1,2342.2,0.1,100.0,0.0,M1,0.9,0.5,2,2.0,FS,1.0,2e-15,1e-15,1.6114437988054404,0.8952465548919113,30P,0,0,3,1,True,-0.1231,0.1231,0.14,-0.14,0.5796541900200224,0.4486106883240222,0.3559397888666418,0.5015436796399754,0.446293522948519,0.6288583145250766,0.446293522948519,0.6288583145250766
37,48,19,F,9,10,6592.0,2.0,9/2,7.6 EV 1.8,3812.0,0.0,63.0,3.0,M1,0.35,0.07,9,7.6,EV,1.8,6.003019397954684e-20,2.534608190247533e-19,0.6266725884243378,0.1253345176848675,19F,9/2,9,2,1,True,0.0039,-0.0704,-0.0493,0.1158,0.032678326149755584,0.022895918772340786,0.9066333538578412,0.9345830892218835,0.6105445326580322,0.6293664280175433,0.6105445326580322,0.6293664280175433
50,61,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2143.26,0.03,58.3,1.6,[M1],0.357,0.076,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.6392060401928247,0.1360774763435705,20F,4,8,3,1,True,0.2018,-0.0131,0.0108,-0.1995,0.7886180218721026,0.6960937494457209,-1.2090140668686349,-0.9498424354221875,-0.829113761006667,-0.6513798768581165,0.829113761006667,0.6513798768581165
146,175,28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,1448.0,0.0,3.14,0.23,(M1),0.18,0.06,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.322288759761088,0.1074295865870293,28Si,2,4,6,4,True,0.0779,-0.0779,0.2289,-0.2289,0.5171097230095194,0.5187571288274916,-1.87283179449733,-1.88198404904162,-0.6501842597643583,-0.6533616149670722,0.6501842597643583,0.6533616149670722
99,115,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,1611.16,0.0,100.0,0.21,[M1],0.59,0.1,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,1.0563909347724554,0.1790493109783822,26Al,2,4,6,2,True,-0.0584,0.0584,-0.0869,0.0869,0.2263741073165587,0.21241222416067593,0.6163150723448158,0.6399792810836,0.6931238776074718,0.7197372590701957,0.6931238776074718,0.7197372590701957
47,58,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,771.71,0.1,2.4,0.6,[M1],0.31,0.1,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.555052864032985,0.1790493109783822,20F,3,6,3,2,True,0.1933,0.0134,0.1207,-0.3274,0.7377265535087664,0.6973853284320057,-1.3797630758347303,-1.2496300917161476,-0.8153090670629695,-0.7384128203565165,0.8153090670629695,0.7384128203565165
73,86,23,Na,11,12,4429.63,0.16,1/2,0.21 FS 0.02,2038.6,0.0,9.9,0.3,[M1],1.11,0.12,1,0.21,FS,0.02,2.1e-16,2e-17,1.9874473518600435,0.2148591731740587,23Na,1/2,1,2,1,True,-0.1848,0.0155,-0.0698,0.2392,0.7534761074032962,0.6872965088879553,0.32119269603306655,0.380813955956797,0.6742184627486499,0.7993699830334603,0.6742184627486499,0.7993699830334603
103,119,26,Al,13,13,3750.9,0.04,2,22 FS 6,591.0,0.0,23.2,1.4,[M1],0.76,0.22,4,22.0,FS,6.0,2.2e-14,6.000000000000001e-15,1.3607747634357052,0.3939084841524409,26Al,2,4,6,5,True,-0.1277,0.1277,-0.2968,0.2968,1.2548261776054526,1.2264886809643802,-0.651087075796648,-0.6138008960057635,-0.8835829556512115,-0.8329822999643183,0.8835829556512115,0.8329822999643183
55,66,21,F,9,12,1730.4,0.06,3/2,0.05 PS 0.04,1450.5,0.2,22.0,2.5,[M1],0.026,0.021,3,0.05,PS,0.04,5e-14,4e-14,0.0465528208543793,0.0376003553054602,21F,1/2,1,1,1,True,0.0804,-0.0097,0.363,-0.4337,0.4028769801145543,0.4608430056005586,-14.495268465944395,-16.724730984636867,-0.7311923228057157,-0.8436542535026869,0.7311923228057157,0.8436542535026869
5,13,18,F,9,9,4115.9,0.25,3,63 FS 15,1054.0,0.0,95.0,3.0,M1,0.28,0.07,6,63.0,FS,15.0,6.300000000000001e-14,1.5000000000000002e-14,0.5013380707394703,0.1253345176848675,18F,2,4,3,2,True,-0.104,0.104,-0.1876,0.1876,0.7601122551418993,0.7249033853819886,-1.714686625506783,-1.5889406620785305,-0.9237626566199932,-0.8560188347998449,0.9237626566199932,0.8560188347998449
34,45,19,F,9,10,6282.0,2.0,5/2,2.4 KEV,4728.0,0.0,20.0,2.0,M1,0.022,0.005,5,2.4,KEV,0.0,1.9009561426856504e-19,,0.039390848415244,0.0089524655489191,19F,3/2,3,5,1,True,0.0569,-0.0569,0.3407,-0.3407,0.4289393544982346,0.4734294024773687,-18.49724338628339,-20.51951829442585,-0.7901362657969683,-0.8765206372930741,0.7901362657969683,0.8765206372930741
6,14,18,F,9,9,4360.15,0.26,1,19 FS 7,1298.0,0.0,100.0,0.0,M1,0.5,0.2,2,19.0,FS,7.0,1.9e-14,7e-15,0.8952465548919113,0.3580986219567645,18F,2,4,4,2,True,0.1352,0.1352,-0.1352,-0.1352,0.0058889997765220106,0.0028793164231508445,0.988222000446956,0.9942413671536983,0.8943643329951291,0.8998120025342548,0.8943643329951291,0.8998120025342548
68,81,22,Na,11,11,5100.4,1.3,4,38 FS 12,1029.0,0.0,100.0,9.0,[M1],0.2,0.07,8,38.0,FS,12.0,3.8e-14,1.2e-14,0.3580986219567645,0.1253345176848675,22Na,4,8,3,2,True,0.122,-0.122,0.0288,-0.0288,0.7740109832938546,0.6727505869214749,-2.8700549164692735,-2.3637529346073745,-1.104429027123809,-0.9095983979083628,1.104429027123809,0.9095983979083628
67,79,22,Na,11,11,4710.0,0.4,5,37 FS 14,638.6,0.0,83.0,6.0,M1,1.0,0.4,10,37.0,FS,14.0,3.7e-14,1.4e-14,1.7904931097838226,0.7161972439135291,22Na,4,8,3,2,True,-0.0599,0.0599,-0.2297,0.2297,0.3517366514242682,0.364751332648095,0.6482633485757319,0.635248667351905,0.994127467252344,0.9741691399605641,0.994127467252344,0.9741691399605641
83,97,26,Al,13,13,2069.47,0.03,2,14 FS 2,1011.71,0.0,100.0,1.2,[M1],1.14,0.17,4,14.0,FS,2.0,1.4e-14,2e-15,2.041162145153557,0.3043838286632498,26Al,1,2,2,1,True,0.1268,-0.1268,0.5151,-0.5151,1.6307901670003124,1.7040959559195588,-0.4305176903511514,-0.4948210139645254,-0.9049610408300053,-1.040128547230319,0.9049610408300053,1.040128547230319
44,55,20,F,9,11,2043.98,0.03,2,2.7 FS 0.5,1387.9,0.03,91.8,0.6,[M1],2.8,0.5,4,2.7,FS,0.5,2.7000000000000005e-15,5e-16,5.013380707394703,0.8952465548919113,20F,3,6,2,1,True,0.3014,-0.0374,0.1608,-0.4249,2.206643751066458,2.037165974066615,0.2119129460476935,0.27244072354763754,0.8266412184901687,1.0627511715545495,0.8266412184901687,1.0627511715545495
62,74,22,Na,11,11,657.0,0.14,0,19.6 PS 0.7,73.9,0.1,100.0,0.0,M1,2.77,0.1,0,19.6,PS,0.7,1.96e-11,6.999999999999999e-13,4.959665914101189,0.1790493109783822,22Na,1,2,1,1,True,-0.2042,0.2042,-0.5375,0.5375,3.379216699689475,3.347544276539805,-0.21993382660269847,-0.20849973882303424,-1.161255701775894,-1.1008834532962313,1.161255701775894,1.1008834532962313
53,64,20,F,9,11,3526.31,0.04,0,3.8 FS 0.4,2469.34,0.04,100.0,0.0,[M1],0.378,0.041,0,3.8,FS,0.4,3.8e-15,4e-16,0.6768063954982849,0.0734102175011367,20F,1,2,1,1,True,0.0578,-0.214,0.2101,-0.0539,1.0208456180515952,0.9524708030076031,-1.7006497832052785,-1.5197640291206431,-1.2443069289446924,-1.1119590467542242,1.2443069289446924,1.1119590467542242
56,67,22,F,9,13,709.1,0.3,2,57 FS 28,637.4,0.2,100.0,7.0,[M1],1.5,0.8,4,57.0,FS,28.0,5.700000000000001e-14,2.8e-14,2.685739664675734,1.4323944878270582,22F,3,6,2,1,True,-0.0593,-0.0301,-0.1028,0.1922,0.05679996756075108,0.06268924261577655,0.9621333549594993,0.9582071715894823,1.5168696439297533,1.510679744847904,1.5168696439297533,1.510679744847904
15,24,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2444.0,0.0,15.8,1.4,M1,0.91,0.29,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,1.6293487299032785,0.5192430018373085,18F,2,4,5,3,True,-0.0925,-0.0925,0.0925,0.0925,0.0027565864694134067,0.0013477814560055904,0.9969707840995456,0.998518921476917,1.5350021570385564,1.5373857717357546,1.5350021570385564,1.5373857717357546
11,19,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,2324.0,0.0,25.0,1.6,M1,0.91,0.23,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,1.6293487299032785,0.4118134152502792,18F,2,4,4,3,True,0.0338,-0.0338,-0.1073,0.1073,0.024830968500201105,0.01430923898843016,0.9727132214283505,0.9842755615511757,1.5693771009901083,1.5880317994386146,1.5693771009901083,1.5880317994386146
7,15,18,F,9,9,5297.6,1.5,4,21 FS 3,646.0,0.0,1.3,0.3,M1,0.019,0.009,8,21.0,FS,3.0,2.1e-14,3.0000000000000002e-15,0.0340193690858926,0.0161144379880544,18F,4,8,2,1,True,-0.1606,0.1606,0.092,-0.092,1.1257938744781224,0.918616796281564,-58.25230918305908,-47.34825243587179,-2.1487862236124378,-1.7465620500399617,2.1487862236124378,1.7465620500399617
58,69,19,Ne,10,9,1536.0,0.4,3/2,19 FS 8,1297.7,0.0,95.0,3.0,M1,0.5,0.28,3,19.0,FS,8.0,1.9e-14,8e-15,0.8952465548919113,0.5013380707394703,19Ne,5/2,5,1,1,True,0.0093,-0.3453,0.3426,-0.0066,1.64461519689305,1.5606158733132736,-2.2892303937861,-2.121231746626547,-1.9526172930394734,-1.8093215092068782,1.9526172930394734,1.8093215092068782
32,43,19,F,9,10,6070.0,1.0,7/2,1.2 KEV,3290.0,0.0,23.0,3.0,M1,0.19,0.07,7,1.2,KEV,0.0,3.8019122853713e-19,,0.3401936908589263,0.1253345176848675,19F,9/2,9,3,1,True,-0.2667,0.0097,-0.0304,0.2874,1.3547140654601617,1.2056298024403125,-6.130074028737694,-5.34542001284375,-2.2409745799847562,-1.954128173977589,2.2409745799847562,1.954128173977589
54,65,21,F,9,12,1730.4,0.06,3/2,0.05 PS 0.04,1730.28,0.08,100.0,2.5,[M1],0.07,0.06,3,0.05,PS,0.04,5e-14,4e-14,0.1253345176848675,0.1074295865870293,21F,5/2,5,1,1,True,0.2161,-0.0103,0.1842,-0.39,1.1434900284346567,1.0919517169814748,-15.335571834780808,-14.599310242592495,-2.0704425647269087,-1.971040510753088,2.0704425647269087,1.971040510753088
22,31,18,F,9,9,6385.5,1.7,2,0.49 KEV 0.09,2270.0,0.0,2.3,0.5,M1,0.041,0.02,4,0.49,KEV,0.09,9.310805596827677e-19,5.0692163804950674e-18,0.0734102175011367,0.0358098621956764,18F,3,6,6,3,True,-0.2563,0.2563,0.1038,-0.1038,2.9771798520778536,2.4640715010225906,-71.61414273360619,-59.09930490299001,-5.6970257251423195,-4.701449288065916,5.6970257251423195,4.701449288065916
