,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,B_th_free (W.u.),B_th_brown (W.u.),B_rel_err_free,B_rel_err_brown,B_residual_free,B_residual_brown,B_residual_free (Abs),B_residual_brown (Abs)
95,111,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1088.224,0.0,4.25,0.13,[M1],0.13,0.03,4,3.5,FS,0.7,3.5e-15,7e-16,0.2327641042718969,0.0537147932935146,26Al,1,2,5,3,True,-0.0371,0.0371,-0.0112,0.0112,0.07255725831231284,0.06335558065778772,0.4418672437514397,0.5126493795554791,0.11135053883657371,0.12918763600374214,0.11135053883657371,0.12918763600374214
64,76,22,Na,11,11,3059.4,0.6,2,23 FS 3,1107.6,0.5,100.0,1.0,M1,0.68,0.09,4,23.0,FS,3.0,2.3000000000000003e-14,3.0000000000000002e-15,1.2175353146529997,0.161144379880544,22Na,2,4,2,1,True,0.1432,-0.1432,-0.0672,0.0672,0.9161632749064582,0.7542057773250502,-0.34729893368596787,-0.1091261431250738,-0.4517234997648451,-0.14193779049396896,0.4517234997648451,0.14193779049396896
2,4,19,O,8,11,96.0,0.5,3/2,1.39 NS 0.05,96.0,0.0,100.0,0.0,M1,0.088,0.038,3,1.39,NS,0.05,1.39e-09,5.000000000000001e-11,0.1575633936609763,0.0680387381717852,19O,5/2,5,1,1,True,0.0,-0.0439,0.0,0.0439,0.01576282467412564,0.012889266612290503,0.8208769923394814,0.8535310612239715,0.1398860765068424,0.14545067342070792,0.1398860765068424,0.14545067342070792
46,57,20,F,9,11,2194.3,0.03,3,2.9 FS 0.8,1371.53,0.04,51.2,1.9,[M1],1.52,0.45,6,2.9,FS,0.8,2.9e-15,8.000000000000001e-16,2.7215495268714105,0.8057218994027202,20F,4,8,2,1,True,-0.2386,0.0341,-0.2693,0.4738,1.6768951708757105,1.6232852471913355,-0.10322050715507268,-0.06795082052061543,-0.22941102465951183,-0.15102296812657037,0.22941102465951183,0.15102296812657037
139,168,30,Al,13,17,687.52,0.12,1,0.7 PS 0.2,443.63,0.08,100.0,2.0,(M1),0.35,0.1,2,0.7,PS,0.2,6.999999999999999e-13,2e-13,0.6266725884243378,0.1790493109783822,30Al,2,4,1,1,True,-0.1352,-0.0675,-0.3258,0.5285,0.37813074370711275,0.4344192136384581,-0.08037355344889363,-0.24119775325273748,-0.053621291966769485,-0.16091530850527416,0.053621291966769485,0.16091530850527416
82,96,26,Al,13,13,1850.62,0.03,1,32 FS 3,1622.0,0.7,100.0,0.1,M1,0.16,0.015,2,32.0,FS,3.0,3.2e-14,3.0000000000000002e-15,0.2864788975654116,0.0268573966467573,26Al,0,0,2,1,True,0.0975,-0.0975,-0.1505,0.1505,0.32879877592178774,0.24355515972081004,-1.0549923495111733,-0.5222197482550628,-0.32762567452161145,-0.16217425401221738,0.32762567452161145,0.16217425401221738
143,172,27,Si,14,13,4289.2,0.9,5/2,3.5 FS 1.4,4288.8,0.0,100.0,8.0,M1,0.041,0.018,5,3.5,FS,1.4,3.5e-15,1.4e-15,0.0734102175011367,0.0322288759761088,27Si,5/2,5,3,1,True,0.0063,0.0982,-0.1338,0.0292,0.12570420750422487,0.12544699622113964,-2.06595628059085,-2.0596828346619422,-0.1643738200895402,-0.16387468548434667,0.1643738200895402,0.16387468548434667
0,1,18,O,8,10,3920.44,0.14,2,18.4 FS 2,1938.0,0.0,87.6,0.7,M1,0.14,0.02,4,18.4,FS,2.0,1.84e-14,2e-15,0.2506690353697351,0.0358098621956764,18O,2,4,2,1,True,0.0,-0.09,0.0,0.09,0.06625063166983239,0.054173162011173163,0.5267812023583401,0.6130488427773345,0.14309479315193557,0.16652852637209764,0.14309479315193557,0.16652852637209764
65,77,22,Na,11,11,4319.0,0.5,1,17 FS 10,3662.0,0.0,100.0,0.0,M1,0.026,0.016,2,17.0,FS,10.0,1.7e-14,1.0000000000000002e-14,0.0465528208543793,0.0286478897565411,22Na,0,0,4,1,True,0.0043,-0.0043,0.3288,-0.3288,0.07617961707629049,0.112165788711419,-1.9299852721650192,-3.3140687965930384,-0.09738916010331926,-0.16723152310004652,0.09738916010331926,0.16723152310004652
130,158,28,Al,13,15,30.6382,0.0007,2,2.07 NS 0.05,30.6382,0.0007,100.0,0.0,M1,0.37,0.009,4,2.07,NS,0.05,2.07e-09,5.000000000000001e-11,0.6624824506200143,0.0161144379880544,28Al,3,6,1,1,True,-0.0093,0.1138,-0.2106,0.106,0.272165369051398,0.27806979022802236,0.26441792148270815,0.24846002641075035,0.1899411552794228,0.17847801008563652,0.1899411552794228,0.17847801008563652
