,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,Bth_free,Bth_brown,B_th_free,B_th_brown,B_rel_err_free,B_rel_err_brown,B_th_free (W.u.),B_th_brown (W.u.)
68,81,22,Na,11,11,5100.4,1.3,4,38 FS 12,1029.0,0.0,100.0,9.0,[M1],0.2,0.07,8,38.0,FS,12.0,3.8e-14,1.2e-14,0.3580986219567645,0.1253345176848675,22Na,4,8,3,2,True,0.122,-0.122,0.0288,-0.0288,1.3854796600959998,1.20422355058944,1.3854796600959998,1.20422355058944,-2.8700549164692735,-2.3637529346073745,0.7740109832938546,0.6727505869214749
159,193,33,P,15,18,4048.4,0.5,5/2,62 FS 21,772.4,0.0,9.0,4.0,[M1],0.05,0.03,5,62.0,FS,21.0,6.2e-14,2.1e-14,0.0895246554891911,0.0537147932935146,33P,3/2,3,3,3,True,0.1094,0.0428,0.0968,-0.249,0.29605562680680364,0.2981937554694402,0.29605562680680364,0.2981937554694402,-2.3078840984000406,-2.331773804127823,0.16539420492000204,0.16658869020639117
58,69,19,Ne,10,9,1536.0,0.4,3/2,19 FS 8,1297.7,0.0,95.0,3.0,M1,0.5,0.28,3,19.0,FS,8.0,1.9e-14,8e-15,0.8952465548919113,0.5013380707394703,19Ne,5/2,5,1,1,True,0.0093,-0.3453,0.3426,-0.0066,2.9438612024385593,2.7935024132307595,2.9438612024385593,2.7935024132307595,-2.2892303937861,-2.121231746626547,1.64461519689305,1.5606158733132736
143,172,27,Si,14,13,4289.2,0.9,5/2,3.5 FS 1.4,4288.8,0.0,100.0,8.0,M1,0.041,0.018,5,3.5,FS,1.4,3.5e-15,1.4e-15,0.0734102175011367,0.0322288759761088,27Si,5/2,5,3,1,True,0.0063,0.0982,-0.1338,0.0292,0.2250105314325625,0.22455012323583998,0.2250105314325625,0.22455012323583998,-2.06595628059085,-2.0596828346619422,0.12570420750422487,0.12544699622113964
146,175,28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,1448.0,0.0,3.14,0.23,(M1),0.18,0.06,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.322288759761088,0.1074295865870293,28Si,2,4,6,4,True,0.0779,-0.0779,0.2289,-0.2289,0.9256264041870398,0.9285752606012099,0.9256264041870398,0.9285752606012099,-1.87283179449733,-1.88198404904162,0.5171097230095194,0.5187571288274916
91,106,26,Al,13,13,3073.63,0.04,3,194 FS 31,1004.14,0.0,100.0,0.6,[M1],0.093,0.015,6,194.0,FS,31.0,1.94e-13,3.1e-14,0.1665158592098955,0.0268573966467573,26Al,2,4,4,2,True,0.0617,-0.0617,0.1221,-0.1221,0.49395651465615986,0.47512470199040996,0.49395651465615986,0.47512470199040996,-1.967240431646303,-1.854116068903766,0.2759533601431062,0.26543279440805023
3,6,18,F,9,9,1700.81,0.18,1,662 FS 19,659.0,0.0,70.2,1.3,M1,0.0805,0.0027,2,662.0,FS,19.0,6.62e-13,1.9e-14,0.1441346953375977,0.0048343313964163,18F,0,0,2,1,True,0.0268,-0.0268,0.3135,-0.3135,0.32006355797055996,0.39027695256225003,0.32006355797055996,0.39027695256225003,-1.2211982231899783,-1.7084697773153128,0.17880645696679326,0.2180318170738827
5,13,18,F,9,9,4115.9,0.25,3,63 FS 15,1054.0,0.0,95.0,3.0,M1,0.28,0.07,6,63.0,FS,15.0,6.300000000000001e-14,1.5000000000000002e-14,0.5013380707394703,0.1253345176848675,18F,2,4,3,2,True,-0.104,0.104,-0.1876,0.1876,1.3606009367039997,1.2975770598337597,1.3606009367039997,1.2975770598337597,-1.714686625506783,-1.5889406620785305,0.7601122551418993,0.7249033853819886
96,112,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2742.881,0.0,100.0,1.1,M1,0.16,0.06,4,3.5,FS,0.7,3.5e-15,7e-16,0.2864788975654116,0.1074295865870293,26Al,3,6,5,1,True,-0.1217,0.1217,0.1669,-0.1669,0.95754131443216,0.7230643401576102,0.95754131443216,0.7230643401576102,-2.3433705112854746,-1.5246659921704266,0.534939281805676,0.40394655874726826
53,64,20,F,9,11,3526.31,0.04,0,3.8 FS 0.4,2469.34,0.04,100.0,0.0,[M1],0.378,0.041,0,3.8,FS,0.4,3.8e-15,4e-16,0.6768063954982849,0.0734102175011367,20F,1,2,1,1,True,0.0578,-0.214,0.2101,-0.0539,1.8273136563123553,1.7049227373836096,1.8273136563123553,1.7049227373836096,-1.7006497832052785,-1.5197640291206431,1.0208456180515952,0.9524708030076031
77,91,26,Mg,12,14,6125.47,0.05,3,14 FS 6,1775.31,0.05,100.0,1.4,[M1],0.2,0.09,6,14.0,FS,6.0,1.4e-14,6.000000000000001e-15,0.3580986219567645,0.161144379880544,26Mg,3,6,3,2,True,-0.0589,0.0937,-0.2524,0.2175,0.8834534412777614,0.8988492394675601,0.8834534412777614,0.8988492394675601,-1.4677470426753108,-1.5107520655518438,0.4935494085350622,0.5021504131103688
