,Index,A,Element,Z,N,Energy (keV),Energy Unc (keV),Ji,Thalf,E_gamma (keV),E_gamma Unc (keV),I_gamma,I_gamma Unc,Mult,B_exp (W.u.),B_exp Unc (W.u.),twoJi,Thalf Value,Thalf Units,Thalf Unc,Thalf (sec),Thalf Unc (sec),B_exp (mu_N^2),B_exp Unc (mu_N^2),Nucleus,Jf,twoJf,ni,nf,Include,Mth_sp,Mth_sn,Mth_lp,Mth_ln,Bth_free,Bth_brown,B_th_free,B_th_brown,B_rel_err_free,B_rel_err_brown,B_th_free (W.u.),B_th_brown (W.u.)
134,162,28,Al,13,15,1622.907,0.02,2,63 FS 10,1622.87,0.06,100.0,11.0,[M1],0.073,0.016,4,63.0,FS,10.0,6.300000000000001e-14,1.0000000000000002e-14,0.130705997014219,0.0286478897565411,28Al,3,6,2,1,True,0.0063,0.0477,-0.212,0.158,0.12911416816516,0.157464525124,0.12911416816516,0.157464525124,0.011906572547945202,-0.20505491026249342,0.072130820204,0.08796900844916201
142,171,27,Si,14,13,2909.9,0.2,9/2,52 FS 6,746.2,0.0,6.4,2.2,(M1),0.061,0.023,9,52.0,FS,6.0,5.2000000000000006e-14,6.000000000000001e-15,0.1092200796968131,0.0411813415250279,27Si,7/2,7,1,1,True,-0.0088,0.0171,-0.2013,0.1931,0.0997826319615321,0.12724252349449,0.0997826319615321,0.12724252349449,0.08615594869922061,-0.1653312894449126,0.05574448712934754,0.07108520865613967
49,60,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2309.96,0.06,12.2,1.1,[M1],0.059,0.014,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.1056390934772455,0.0250669035369735,20F,3,6,3,1,True,0.0032,-0.0428,0.1478,-0.1083,0.10853063453441437,0.12212732387583998,0.10853063453441437,0.12212732387583998,-0.027654905164419832,-0.1563992413203294,0.06063163940470077,0.06822755523789943
45,56,20,F,9,11,2194.3,0.03,3,2.9 FS 0.8,2194.16,0.03,47.0,1.9,[M1],0.34,0.1,6,2.9,FS,0.8,2.9e-15,8.000000000000001e-16,0.6087676573264997,0.1790493109783822,20F,2,4,2,1,True,0.037,-0.0623,0.3394,-0.3141,0.6153608454713722,0.69446988912196,0.6153608454713722,0.69446988912196,-0.011108848950660619,-0.1410941326354911,0.34377700864322464,0.387972005096067
81,95,26,Al,13,13,1057.739,0.012,1,25 FS 5,829.3,0.4,100.0,0.0,M1,1.5,0.3,2,25.0,FS,5.0,2.5e-14,5.000000000000001e-15,2.685739664675734,0.5371479329351467,26Al,0,0,1,1,True,0.1298,-0.1298,0.4932,-0.4932,2.9408051829817605,3.04595620318224,2.9408051829817605,3.04595620318224,-0.09527194896899838,-0.13443434010511726,1.6429079234534976,1.701651510157676
64,76,22,Na,11,11,3059.4,0.6,2,23 FS 3,1107.6,0.5,100.0,1.0,M1,0.68,0.09,4,23.0,FS,3.0,2.3000000000000003e-14,3.0000000000000002e-15,1.2175353146529997,0.161144379880544,22Na,2,4,2,1,True,0.1432,-0.1432,-0.0672,0.0672,1.6399322620825598,1.3500283414118392,1.6399322620825598,1.3500283414118392,-0.34729893368596787,-0.1091261431250738,0.9161632749064582,0.7542057773250502
4,12,18,F,9,9,3839.17,0.22,2,13.2 FS 1.9,777.0,0.0,50.0,3.0,M1,1.7,0.3,4,13.2,FS,1.9,1.32e-14,1.9e-15,3.0438382866324982,0.5371479329351467,18F,2,4,3,2,True,0.1563,-0.1563,0.3789,-0.3789,3.42248372001936,3.3600946657472095,3.42248372001936,3.3600946657472095,-0.12470710483712119,-0.1042046223290205,1.912002078223106,1.8771478579593348
41,52,20,F,9,11,822.73,0.03,4,55 PS 4,166.78,0.05,66.8,2.4,[M1],0.0572,0.0048,8,55.0,PS,4.0,5.5e-11,4e-12,0.1024162058796346,0.0085943669269623,20F,3,6,1,1,True,-0.0074,0.0512,-0.0944,0.0505,0.10998558042774759,0.11143886356516002,0.10998558042774759,0.11143886356516002,-0.0742038171245418,-0.08839769860882148,0.06144445833952379,0.06225634836042459
46,57,20,F,9,11,2194.3,0.03,3,2.9 FS 0.8,1371.53,0.04,51.2,1.9,[M1],1.52,0.45,6,2.9,FS,0.8,2.9e-15,8.000000000000001e-16,2.7215495268714105,0.8057218994027202,20F,4,8,2,1,True,-0.2386,0.0341,-0.2693,0.4738,3.001642355867522,2.9056805924724896,3.001642355867522,2.9056805924724896,-0.10322050715507268,-0.06795082052061543,1.6768951708757105,1.6232852471913355
148,177,29,Si,14,15,4895.2,0.4,5/2,12 FS 5,3621.6,0.4,100.0,7.0,(M1),0.021,0.009,5,12.0,FS,5.0,1.2e-14,5.000000000000001e-15,0.0376003553054602,0.0161144379880544,29Si,3/2,3,3,1,True,0.0203,0.0614,-0.0753,-0.0064,0.038747997330912096,0.040048694810890004,0.038747997330912096,0.040048694810890004,-0.030805994437672405,-0.06540821524048955,0.021646925883191122,0.022373572520050282
72,85,23,Na,11,12,4429.63,0.16,1/2,0.21 FS 0.02,4429.2,0.0,100.0,3.0,M1,1.1,0.12,1,0.21,FS,0.02,2.1e-16,2e-17,1.969542420762205,0.2148591731740587,23Na,3/2,3,2,1,True,-0.2232,-0.0087,-0.2334,0.4652,2.0933443362027258,2.04768544389696,2.0933443362027258,2.04768544389696,-0.06315100873678288,-0.039962135041625206,1.1694661096104613,1.1439583485457878
14,23,18,F,9,9,6283.2,0.9,2,10.0 KEV 0.5,2559.0,0.0,1.4,0.5,M1,0.071,0.034,4,10.0,KEV,0.5,4.562294742445559e-20,9.124589484891121e-19,0.1271250107946513,0.0608767657326499,18F,1,2,5,3,True,-0.0034,0.0034,0.3106,-0.3106,0.07761751424063999,0.12842145956835999,0.07761751424063999,0.12842145956835999,0.3892712704332363,-0.010476509311196768,0.04336173979924022,0.07174383216109496
75,88,23,Na,11,12,6235.4,0.6,13/2,16 FS 8,701.0,1.0,12.0,6.0,(M1),0.4,0.3,13,16.0,FS,8.0,1.6e-14,8e-15,0.7161972439135291,0.5371479329351467,23Na,11/2,11,1,1,True,-0.0912,0.0317,-0.1979,0.2574,0.6865937863512025,0.6968027209584101,0.6865937863512025,0.6968027209584101,0.04107013079441002,0.026811842236857397,0.383571947682236,0.38927526310525706
129,157,27,Al,13,14,5667.3,1.2,9/2,11 FS 3,1156.9,1.4,20.0,8.0,(M1),0.14,0.07,9,11.0,FS,3.0,1.1e-14,3.0000000000000002e-15,0.2506690353697351,0.1253345176848675,27Al,11/2,11,3,1,True,0.0283,-0.0825,0.0368,0.0173,0.26065625829040373,0.23012571368164003,0.26065625829040373,0.23012571368164003,-0.040128724223478,0.08170106272290494,0.14561802139128693,0.12856185121879332
36,47,19,F,9,10,6592.0,2.0,9/2,7.6 EV 1.8,2214.0,0.0,24.0,2.0,M1,0.35,0.07,9,7.6,EV,1.8,6.003019397954684e-20,2.534608190247533e-19,0.6266725884243378,0.1253345176848675,19F,7/2,7,2,1,True,0.0411,-0.0548,0.2821,-0.2684,0.5203508863893201,0.57352585776201,0.5203508863893201,0.57352585776201,0.1694319451088265,0.08455569391538703,0.2906988192119107,0.3204055071296145
70,83,23,Na,11,12,2982.0,0.5,3/2,3.3 FS 0.4,591.0,1.0,0.51,0.17,[M1],0.1,0.04,3,3.3,FS,0.4,3.3e-15,4e-16,0.1790493109783822,0.0716197243913529,23Na,1/2,1,2,1,True,-0.084,-0.0083,0.0056,0.0867,0.1864862260770601,0.16357786114576,0.1864862260770601,0.16357786114576,-0.041822492050615084,0.08615720030301685,0.10418224920506151,0.09138427996969832
42,53,20,F,9,11,1056.848,0.004,1,5.1 FS 1.1,1056.78,0.03,100.0,0.0,[M1],3.59,0.78,2,5.1,FS,1.1,5.1e-15,1.1000000000000001e-15,6.427870264123923,1.3965846256313816,20F,2,4,1,1,True,0.3414,-0.0654,0.3259,-0.6018,6.165775677603998,5.867343992052009,6.165775677603998,5.867343992052009,0.04051046861953625,0.08695102907642123,3.4445674176558647,3.2778458056156476
163,197,34,Cl,17,17,461.0,0.04,1,5.2 PS 0.4,461.0,0.04,100.0,0.0,M1,0.043,0.004,2,5.2,PS,0.4,5.200000000000001e-12,4e-13,0.0769912037207043,0.0071619724391352,34Cl,0,0,1,1,True,0.0094,-0.0094,-0.2776,0.2776,0.03576909777984,0.07019447531776,0.03576909777984,0.07019447531776,0.5352852048870989,0.08802812371365448,0.019982736189854747,0.039214790680312854
132,160,28,Al,13,15,1372.917,0.02,1,223 FS 35,400.58,0.03,63.0,7.0,[M1],0.54,0.12,2,223.0,FS,35.0,2.23e-13,3.5e-14,0.9668662792832644,0.2148591731740587,28Al,0,0,1,1,True,0.1493,-0.0183,0.0625,-0.1936,0.93405710903569,0.8532614095622502,0.93405710903569,0.8532614095622502,0.033667381506631615,0.11725490423934395,0.521819613986419,0.4766823517107543
152,182,32,P,15,17,78.06,0.02,2,278 PS 9,78.05,0.02,100.0,0.0,(M1),0.165,0.006,4,278.0,PS,9.0,2.7799999999999997e-10,9e-12,0.2954313631143307,0.0107429586587029,32P,1,2,1,1,True,0.1254,0.0643,0.0603,-0.2499,0.26493224153217615,0.2600221798216902,0.26493224153217615,0.2600221798216902,0.10298885548611425,0.11961340842495334,0.14800683884479116,0.1452637876098827
156,186,32,P,15,17,2740.36,0.06,1,14 FS 5,2227.57,0.07,100.0,1.5,M1,0.09,0.04,2,14.0,FS,5.0,1.4e-14,5.000000000000001e-15,0.161144379880544,0.0716197243913529,32P,0,0,4,1,True,0.0384,0.0253,0.2103,-0.2739,0.1075744816505401,0.14162705375568999,0.1075744816505401,0.14162705375568999,0.33225026908417077,0.120874899095655,0.06009747578242463,0.07912125908139105
102,118,26,Al,13,13,3750.9,0.04,2,22 FS 6,1681.37,0.0,100.0,3.0,[M1],0.14,0.04,4,22.0,FS,6.0,2.2e-14,6.000000000000001e-15,0.2506690353697351,0.0716197243913529,26Al,2,4,6,2,True,0.0459,-0.0459,0.0552,-0.0552,0.23737436363664005,0.21928128831504004,0.23737436363664005,0.21928128831504004,0.05277588333343967,0.12497490696312862,0.13261137633331846,0.122503513025162
136,165,28,Al,13,15,2486.2,0.06,2,66 FS 7,865.87,0.15,100.0,13.0,[M1],0.3,0.06,4,66.0,FS,7.0,6.600000000000002e-14,7e-15,0.5371479329351467,0.1074295865870293,28Al,1,2,4,2,True,-0.1498,-0.0387,-0.0253,0.2138,0.5097389529960025,0.46601061291009005,0.5097389529960025,0.46601061291009005,0.050765450659213306,0.13219625156407808,0.284770364802236,0.26034112453077657
140,169,30,Al,13,17,1118.9,0.3,3,83 FS 55,875.1,0.5,100.0,4.0,M1,0.4,0.3,6,83.0,FS,55.0,8.300000000000001e-14,5.5000000000000005e-14,0.7161972439135291,0.5371479329351467,30Al,2,4,2,1,True,0.0617,-0.0416,0.2534,-0.2735,0.573369664626533,0.61424932808836,0.573369664626533,0.61424932808836,0.1992043790132221,0.1421098769715641,0.3203182483947112,0.3431560492113744
28,38,19,F,9,10,1554.038,0.009,3/2,3.5 FS 2.1,1356.9,0.0,92.6,0.2,M1,2.3,1.4,3,3.5,FS,2.1,3.5e-15,2.1000000000000002e-15,4.118134152502791,2.506690353697352,19F,5/2,5,1,1,True,-0.3453,0.0093,-0.0066,0.3426,3.88455245095824,3.421735622683561,3.88455245095824,3.421735622683561,0.05646041997613794,0.16887645793452483,2.1701410340548826,1.9115841467505927
57,68,18,Ne,10,8,3616.4,0.6,2,44 FS +21-14,1729.0,0.0,91.0,2.0,M1,0.088,0.038,4,44.0,FS,21.0,4.4e-14,2.1e-14,0.1575633936609763,0.0680387381717852,18Ne,2,4,2,1,True,-0.09,0.0,0.09,0.0,0.170332020369,0.1290174561,0.170332020369,0.1290174561,-0.08133583271330623,0.18094555548501776,0.09515755327877094,0.07207679111731843
161,195,33,S,16,17,3831.6,0.3,5/2,30 FS 8,862.4,0.0,19.0,7.0,[M1],0.12,0.06,5,30.0,FS,8.0,3.0000000000000005e-14,8e-15,0.2148591731740587,0.1074295865870293,33S,7/2,7,3,1,True,-0.1002,-0.0279,0.013,0.1152,0.1935413700395569,0.16997974579599998,0.1935413700395569,0.16997974579599998,0.09896941322366458,0.2086604013221602,0.10812367041316025,0.09496075184134077
48,59,20,F,9,11,2966.11,0.03,3,3.6 FS 0.8,2965.9,0.09,27.1,1.4,[M1],0.063,0.014,6,3.6,FS,0.8,3.6e-15,8.000000000000001e-16,0.1128010659163808,0.0250669035369735,20F,2,4,3,1,True,0.0122,-0.037,0.0815,-0.0567,0.08480829628344959,0.08628406882225002,0.08480829628344959,0.08628406882225002,0.24795338934601766,0.23486681899219627,0.04737893647120089,0.048203390403491635
130,158,28,Al,13,15,30.6382,0.0007,2,2.07 NS 0.05,30.6382,0.0007,100.0,0.0,M1,0.37,0.009,4,2.07,NS,0.05,2.07e-09,5.000000000000001e-11,0.6624824506200143,0.0161144379880544,28Al,3,6,1,1,True,-0.0093,0.1138,-0.2106,0.106,0.4871760106020025,0.49774492450816,0.4871760106020025,0.49774492450816,0.26441792148270815,0.24846002641075035,0.272165369051398,0.27806979022802236
44,55,20,F,9,11,2043.98,0.03,2,2.7 FS 0.5,1387.9,0.03,91.8,0.6,[M1],2.8,0.5,4,2.7,FS,0.5,2.7000000000000005e-15,5e-16,5.013380707394703,0.8952465548919113,20F,3,6,2,1,True,0.3014,-0.0374,0.1608,-0.4249,3.9498923144089604,3.6465270935792407,3.9498923144089604,3.6465270935792407,0.2119129460476935,0.27244072354763754,2.206643751066458,2.037165974066615
105,121,26,Al,13,13,3753.63,0.13,0,5 FS 2,1013.58,0.0,2.2,0.3,[M1],0.08,0.04,0,5.0,FS,2.0,5.000000000000001e-15,2e-15,0.1432394487827058,0.0716197243913529,26Al,1,2,2,4,True,-0.0544,0.0544,0.1248,-0.1248,0.14993375248383994,0.10074580706304002,0.14993375248383994,0.10074580706304002,-0.0470234111999996,0.2964678277720671,0.08376187289599997,0.05628257377823463
80,94,25,Al,13,12,2485.3,0.9,1/2,4 FS 2,2033.4,1.0,100.0,4.0,M1,0.5,0.3,1,4.0,FS,2.0,4e-15,2e-15,0.8952465548919113,0.5371479329351467,25Al,1/2,1,2,1,True,0.1774,0.0028,-0.1096,-0.0706,0.7579261471574116,0.6130852416057601,0.7579261471574116,0.6130852416057601,0.15315514284088094,0.31498855686507254,0.42342242857955953,0.34250572156746373
149,179,30,Si,14,16,5372.2,0.6,0,59 FS 21,1602.8,0.9,66.0,20.0,M1,0.036,0.019,0,59.0,FS,21.0,5.9e-14,2.1e-14,0.0644577519522176,0.0340193690858926,30Si,1,2,3,1,True,0.0084,-0.0506,-0.0087,0.0509,0.053745454916035586,0.04335794214048999,0.053745454916035586,0.04335794214048999,0.16596128311552474,0.3271579431953756,0.030025393807841107,0.024222314044966477
90,105,26,Al,13,13,2913.4,0.05,2,68 FS 4,843.92,0.0,100.0,1.3,[M1],0.365,0.023,4,68.0,FS,4.0,6.8e-14,4e-15,0.6535299850710953,0.0411813415250279,26Al,2,4,4,2,True,0.0799,-0.0799,-0.0328,0.0328,0.5172756822734399,0.4279289689038401,0.5172756822734399,0.4279289689038401,0.208271703874738,0.34502338883624384,0.2889808280857206,0.239066463074771
30,41,19,F,9,10,3908.17,0.2,3/2,6 FS 3,3908.2,0.0,48.0,2.0,M1,0.12,0.07,3,6.0,FS,3.0,6.000000000000001e-15,3.0000000000000002e-15,0.2148591731740587,0.1253345176848675,19F,1/2,1,2,1,True,0.0163,-0.0088,0.2069,-0.2144,0.1099707300567225,0.14008409613961,0.1099707300567225,0.14008409613961,0.48803198297615225,0.3478394034468808,0.06143616204286173,0.0782592715863743
43,54,20,F,9,11,2043.98,0.03,2,2.7 FS 0.5,2043.89,0.06,7.5,0.6,[M1],0.071,0.014,4,2.7,FS,0.5,2.7000000000000005e-15,5e-16,0.1271250107946513,0.0250669035369735,20F,2,4,2,1,True,-0.0128,0.0213,-0.1169,0.1084,0.07284447157812252,0.08224167863960999,0.07284447157812252,0.08224167863960999,0.4268276687534619,0.3528863117506492,0.0406952355185042,0.0459450718657039
153,183,32,P,15,17,512.7,0.03,0,1.83 PS 0.08,512.69,0.03,100.0,0.0,M1,0.088,0.004,0,1.83,PS,0.08,1.83e-12,8e-14,0.1575633936609763,0.0071619724391352,32P,1,2,1,1,True,-0.1272,-0.0125,0.2439,-0.1042,0.17537023087184414,0.10153584687961004,0.17537023087184414,0.10153584687961004,-0.11332040929306844,0.3554098090425975,0.09797219601779002,0.05672393680425142
76,90,26,Mg,12,14,4835.13,0.05,2,28 FS 6,1896.72,0.05,100.0,0.4,M1,0.096,0.021,4,28.0,FS,6.0,2.8e-14,6.000000000000001e-15,0.1718873385392469,0.0376003553054602,26Mg,2,4,4,2,True,0.021,-0.0153,0.1358,-0.1416,0.09712079225956809,0.11062355824143999,0.09712079225956809,0.11062355824143999,0.4348184807986029,0.3562409320214153,0.05425742584333412,0.06180087052594413
101,117,26,Al,13,13,3723.81,0.04,1,4.2 FS 1.4,3495.25,0.0,100.0,0.1,M1,0.12,0.04,2,4.2,FS,1.4,4.2000000000000004e-15,1.4e-15,0.2148591731740587,0.0716197243913529,26Al,0,0,5,1,True,0.0234,-0.0234,0.1328,-0.1328,0.12463780646464002,0.13649123358784002,0.12463780646464002,0.13649123358784002,0.4197495043545622,0.36456595163947847,0.06963005947745253,0.07625208580326258
92,107,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,2102.058,0.0,25.7,0.8,M1,0.09,0.03,4,3.5,FS,0.7,3.5e-15,7e-16,0.161144379880544,0.0537147932935146,26Al,1,2,5,1,True,0.0199,-0.0199,0.1158,-0.1158,0.09186888256144,0.10097408680164,0.09186888256144,0.10097408680164,0.42974002134425815,0.3732210626837989,0.051323398079016765,0.0564101043584581
138,167,28,Al,13,15,2656.3,0.04,4,22 FS 3,1642.35,0.1,100.0,5.0,[M1],0.16,0.03,8,22.0,FS,3.0,2.2e-14,3.0000000000000002e-15,0.2864788975654116,0.0537147932935146,28Al,3,6,2,2,True,-0.0984,-0.0871,-0.1675,0.3531,0.14735015020262252,0.17932387662225008,0.14735015020262252,0.17932387662225008,0.48550925208581525,0.37386914587203207,0.08231851966626956,0.10018093666047487
73,86,23,Na,11,12,4429.63,0.16,1/2,0.21 FS 0.02,2038.6,0.0,9.9,0.3,[M1],1.11,0.12,1,0.21,FS,0.02,2.1e-16,2e-17,1.9874473518600435,0.2148591731740587,23Na,1/2,1,2,1,True,-0.1848,0.0155,-0.0698,0.2392,1.3487222322519001,1.23026075090944,1.3487222322519001,1.23026075090944,0.32119269603306655,0.380813955956797,0.7534761074032962,0.6872965088879553
162,196,33,Cl,17,16,810.55,0.16,1/2,1.2 PS 0.2,810.55,0.16,100.0,0.0,[M1],0.034,0.006,1,1.2,PS,0.2,1.2e-12,2e-13,0.0608767657326499,0.0107429586587029,33Cl,3/2,3,1,1,True,0.0609,0.0244,-0.0333,-0.052,0.04558541412490813,0.037287725860090014,0.04558541412490813,0.037287725860090014,0.2509790646580987,0.387319653958429,0.025466711801624645,0.020831131765413416
165,200,35,Cl,17,18,3967.5,0.23,1/2,10 FS 3,2748.5,0.6,100.0,6.0,[M1],0.079,0.025,1,10.0,FS,3.0,1.0000000000000002e-14,3.0000000000000002e-15,0.1414489556729219,0.0447623277445955,35Cl,1/2,1,2,1,True,0.0743,0.0038,-0.0656,-0.0126,0.11214298688910494,0.08658812367396006,0.11214298688910494,0.08658812367396006,0.2069656538497636,0.38768033608683933,0.06264971334586868,0.048373253449139696
160,194,33,S,16,17,2313.399,0.014,3/2,109 FS 17,346.19,0.14,1.6,0.3,(M1),0.055,0.014,3,109.0,FS,17.0,1.09e-13,1.7e-14,0.0984771210381102,0.0250669035369735,33S,5/2,5,2,1,True,-0.0312,-0.1648,-0.136,0.3321,0.10259234624015995,0.05609650140899999,0.10259234624015995,0.05609650140899999,-0.042075634740070984,0.43020313449466774,0.057314159910703905,0.03133882760279327
131,159,28,Al,13,15,1013.637,0.009,3,103 FS 14,1013.676,0.021,61.0,7.0,[M1],0.078,0.016,6,103.0,FS,14.0,1.03e-13,1.4e-14,0.1396584625631381,0.0286478897565411,28Al,3,6,2,1,True,-0.0154,-0.1015,0.0085,0.1083,0.09662751733910892,0.07902817328025001,0.09662751733910892,0.07902817328025001,0.30792495817856386,0.4339766990384615,0.05398185326207202,0.044149817475000006
63,75,22,Na,11,11,2968.6,0.6,3,32 FS 4,1016.8,0.5,100.0,0.0,M1,0.65,0.09,6,32.0,FS,4.0,3.2e-14,4e-15,1.1638205213594848,0.161144379880544,22Na,2,4,3,1,True,0.1069,-0.1069,-0.0981,0.0981,0.8245417266318399,0.6520612565096099,0.8245417266318399,0.6520612565096099,0.2913264059889644,0.43956918220059316,0.4606378361071731,0.36428003156961447
147,176,28,Si,14,14,9381.55,0.12,2,1.1 FS 0.3,1122.7,0.0,0.6,0.18,(M1),0.08,0.03,4,1.1,FS,0.3,1.1000000000000001e-15,3e-16,0.1432394487827058,0.0537147932935146,28Si,2,4,6,5,True,0.0291,-0.0291,0.0201,-0.0201,0.08642964971664001,0.07743691997001,0.08642964971664001,0.07743691997001,0.3964409935988827,0.4592393856842878,0.04828472051208939,0.04326084914525698
19,28,18,F,9,9,6310.5,0.8,3,0.95 KEV 0.14,1347.0,0.0,13.0,1.5,M1,0.62,0.2,6,0.95,KEV,0.14,4.802415518363747e-19,3.258781958889685e-18,1.11010572806597,0.3580986219567645,18F,2,4,5,4,True,0.0037,-0.0037,0.5821,-0.5821,0.3805957153153599,0.57643459644241,0.3805957153153599,0.57643459644241,0.6570591860557219,0.48059596644223285,0.21262330464545245,0.32203050080581563
150,180,30,P,15,15,3019.2,0.1,1,2 FS 1,2342.2,0.1,100.0,0.0,M1,0.9,0.5,2,2.0,FS,1.0,2e-15,1e-15,1.6114437988054404,0.8952465548919113,30P,0,0,3,1,True,-0.1231,0.1231,0.14,-0.14,1.03758100013584,0.8030131320999999,1.03758100013584,0.8030131320999999,0.3559397888666418,0.5015436796399754,0.5796541900200224,0.4486106883240222
33,44,19,F,9,10,6070.0,1.0,7/2,1.2 KEV,1692.0,0.0,4.0,1.0,M1,0.25,0.1,7,1.2,KEV,0.0,3.8019122853713e-19,,0.4476232774459556,0.1790493109783822,19F,7/2,7,3,1,True,0.0191,0.1021,-0.1753,0.0541,0.2109366119642896,0.22290834214488994,0.2109366119642896,0.22290834214488994,0.5286332693535428,0.5018807996762235,0.1178416826616143,0.12452980008094414
95,111,26,Al,13,13,3159.889,0.013,2,3.5 FS 0.7,1088.224,0.0,4.25,0.13,[M1],0.13,0.03,4,3.5,FS,0.7,3.5e-15,7e-16,0.2327641042718969,0.0537147932935146,26Al,1,2,5,3,True,-0.0371,0.0371,-0.0112,0.0112,0.12987749237903998,0.11340648937744002,0.12987749237903998,0.11340648937744002,0.4418672437514397,0.5126493795554791,0.07255725831231284,0.06335558065778772
78,92,26,Mg,12,14,6622.94,0.14,4,19 FS 5,1146.9,0.0,19.0,2.0,[M1],0.063,0.018,8,19.0,FS,5.0,1.9e-14,5.000000000000001e-15,0.1128010659163808,0.0322288759761088,26Mg,4,8,5,3,True,0.0278,-0.002,0.0625,-0.0883,0.050820966277203596,0.053201498370250004,0.050820966277203596,0.053201498370250004,0.5493396623463368,0.5282300401680412,0.02839160127218078,0.02972150746941341
166,201,38,K,19,19,458.53,0.16,1,7.0 PS 0.6,328.1,0.2,100.0,0.3,M1,0.088,0.009,2,7.0,PS,0.6,7e-12,6e-13,0.1575633936609763,0.0161144379880544,38K,0,0,1,1,True,-0.0276,0.0276,0.4048,-0.4048,0.021033352829440004,0.07047708181504002,0.021033352829440004,0.07047708181504002,0.8664718586246826,0.5525832794880648,0.011750476441027936,0.03937267140505029
87,101,26,Al,13,13,2365.15,0.018,3,0.8 PS 0.2,295.678,0.0,100.0,2.0,[M1],0.54,0.14,6,0.8,PS,0.2,8e-13,2e-13,0.9668662792832644,0.2506690353697351,26Al,2,4,2,2,True,-0.0241,0.0241,-0.3438,0.3438,0.32561768389263995,0.40841838940644,0.32561768389263995,0.40841838940644,0.6631308877584938,0.5774690777918065,0.18190932061041337,0.22816669799242456
29,40,19,F,9,10,3908.17,0.2,3/2,6 FS 3,2354.1,0.0,21.0,3.0,M1,0.056,0.033,3,6.0,FS,3.0,6.000000000000001e-15,3.0000000000000002e-15,0.100267614147894,0.0590862726228661,19F,3/2,3,2,1,True,-0.0257,-0.0144,-0.0962,0.1362,0.034097014775212896,0.04202040812543999,0.034097014775212896,0.04202040812543999,0.6598462213167109,0.5808019939600958,0.019048611606264188,0.023475088338234636
88,102,26,Al,13,13,2545.367,0.017,3,0.69 PS 0.17,475.892,0.0,100.0,1.5,[M1],0.2,0.05,6,0.69,PS,0.17,6.899999999999999e-13,1.7e-13,0.3580986219567645,0.0895246554891911,26Al,2,4,3,2,True,0.0146,-0.0146,0.1997,-0.1997,0.11364665807104,0.14171106389209004,0.11364665807104,0.14171106389209004,0.6825512344384357,0.6041590394075699,0.06348975311231285,0.07916819211848602
0,1,18,O,8,10,3920.44,0.14,2,18.4 FS 2,1938.0,0.0,87.6,0.7,M1,0.14,0.02,4,18.4,FS,2.0,1.84e-14,2e-15,0.2506690353697351,0.0358098621956764,18O,2,4,2,1,True,0.0,-0.09,0.0,0.09,0.11858863068899998,0.09696995999999997,0.11858863068899998,0.09696995999999997,0.5267812023583401,0.6130488427773345,0.06625063166983239,0.054173162011173163
141,170,27,Si,14,13,957.4,0.2,3/2,1.20 PS 0.08,176.4,0.0,6.42,0.29,(M1),0.17,0.06,3,1.2,PS,0.08,1.2e-12,8e-14,0.3043838286632498,0.1074295865870293,27Si,1/2,1,1,1,True,0.0083,-0.0141,0.1967,-0.1909,0.08821621130737958,0.11421446070968999,0.08821621130737958,0.11421446070968999,0.7101011787466988,0.6246649335862963,0.049282799613061215,0.06380696129032963
67,79,22,Na,11,11,4710.0,0.4,5,37 FS 14,638.6,0.0,83.0,6.0,M1,1.0,0.4,10,37.0,FS,14.0,3.7e-14,1.4e-14,1.7904931097838226,0.7161972439135291,22Na,4,8,3,2,True,-0.0599,0.0599,-0.2297,0.2297,0.62960860604944,0.65290488544009,0.62960860604944,0.65290488544009,0.6482633485757319,0.635248667351905,0.3517366514242682,0.364751332648095
99,115,26,Al,13,13,3680.68,0.06,3,8.3 FS 1.4,1611.16,0.0,100.0,0.21,[M1],0.59,0.1,6,8.3,FS,1.4,8.300000000000002e-15,1.4e-15,1.0563909347724554,0.1790493109783822,26Al,2,4,6,2,True,-0.0584,0.0584,-0.0869,0.0869,0.40520965209664006,0.3802178812476101,0.40520965209664006,0.3802178812476101,0.6163150723448158,0.6399792810836,0.2263741073165587,0.21241222416067593
8,16,18,F,9,9,6163.2,0.9,3,14.0 KEV 0.5,2047.0,0.0,1.5,0.3,M1,0.078,0.033,6,14.0,KEV,0.5,3.258781958889685e-20,9.124589484891121e-19,0.1396584625631381,0.0590862726228661,18F,3,6,4,3,True,-0.0149,0.0149,-0.0706,0.0706,0.044452999585439995,0.04744093472836001,0.044452999585439995,0.04744093472836001,0.6816143848629137,0.6602139039653345,0.024834077980692735,0.026503315490703908
66,78,22,Na,11,11,4360.0,0.4,2,5.0 FS 1.4,2408.1,0.3,100.0,5.0,M1,0.24,0.07,4,5.0,FS,1.4,5.000000000000001e-15,1.4e-15,0.4297183463481174,0.1253345176848675,22Na,2,4,3,1,True,-0.0225,0.0225,-0.1278,0.1278,0.11530778489999999,0.12628940053284002,0.11530778489999999,0.12628940053284002,0.7315926794692739,0.7060302594673183,0.0644177569273743,0.07055273772784358
